Refined_Formal_Name,Original-QID,Second-Query_QID,Third-Query_QID,Original-Refined_Category,Original-Status/Notes,Second-Query_Label,Second-Query_Description,Second-Query_Logic,Third-Query_Label,Third-Query_Description,Third-Query_Logic
Niccolò Melanconici,,,Q122376269,Person,"[OCR Fix/Typo] ""辰""应为""ò""。姓氏可能是 Menghini (雕塑家) 或 Melchiorri 的误拼。",,,No results found,TYPO,2021 video game,Deep Match via 'Typo' (From Notes): TYPO (Score: 95.0)
Nicola del Rosso,,,,Person,,,,No results found,,,
Officium Beatae Mariae Virginis,,,,Work,[Validation] 圣母日课 (手稿/书)。,,,No results found,,,
Oratory/Church of Santa Cecilia (Bologna),,Q17013094,,Place,[Validation] 博洛尼亚教堂。,"Oratorio di Santa Cecilia, Bologna",Wikipedia Search Result,"Smart Match via 'Oratory/Church of Santa Cecilia (Bologna)': Oratorio di Santa Cecilia, Bologna (77.3)",,,
Orazio Marucelli,,,,Person,佛罗伦萨参议员/贵族。,,,No results found,,,
Oriental Customs,,Q1251541,,Work,[Category Fix] 书籍或版画集标题。,Oriental rug,Wikipedia Search Result,Smart Match via 'Oriental Customs painting': Oriental rug (71.4),,,
Oriental Heads,,Q2099338,,Work,[Category Fix] 提埃坡罗或Castiglione的版画系列。,Oriental Longhair,Wikipedia Search Result,Smart Match via 'Oriental Heads': Oriental Longhair (71.0),,,
Original proposals for reclaiming Prato della Valle,,,Q2636862,Work,"[OCR Fix] ""Pr角 de?a Va?e"" -> ""Prato della Valle"" (帕多瓦河谷草地广场)。",,,No results found,Prato della Valle,"square in Padua, Italy",Deep Match via 'Prato della Valle' (From Notes): Prato della Valle (Score: 95.0)
Osvaldo Böhm Photograph Collection,,,,Work,"[OCR Fix] ""B?hm"" -> ""Böhm""。摄影收藏。",,,No results found,,,
Ottavio Novaroli,,,Q1263068,Person,"17世纪人物（可能是神职人员）。 | [Duplicate] 同 Novaroli, P. Octavio。",,,No results found,duplicate entry,duplicate database entry (see Q17362920 Wikimedia duplicated page); reason for deprecation,Deep Match via 'Duplicate' (From Notes): duplicate entry (Score: 71.2)
"Où sont des pasteurs, des bergères et des moutons",,,Q12785738,Work,"[OCR Fix] ""O迄"" -> ""Où"", ""berg豕res"" -> ""bergères""。画作描述/标题。",,,No results found,Berg,family name,Deep Match via 'berg' (From Notes): Berg (Score: 95.0)
P. Carlo de' Conti Lodoli Veneziano forse il Socrate Architetto,,,,Work,[OCR Fix] 书籍/版画标题，指卡洛·洛多利。,,,No results found,,,
Padre Massimo,,,Q1081418,Person,可能是指 Camillo Massimi 或其他修道士。,,,No results found,Carlo Camillo II Massimo,Cardinal and patron of the arts (1620-1677),Deep Match via 'Camillo Massimi' (From Notes): Carlo Camillo II Massimo (Score: 68.2)
Paintings for the Church in Salamanca,,,,Work,[Category Fix] 特定委托作品（如提埃坡罗等）。,,,No results found,,,
Palazzo Buonaccorsi Art Collection,,Q262019,,Concept,[Category Fix] 收藏概念。,Palazzo Buonaccorsi,Wikipedia Search Result,Smart Match via 'Palazzo Buonaccorsi Art Collection': Palazzo Buonaccorsi (71.7),,,
Palazzo Taddeo,,,Q953429,Place,[Verification] 可能是指 Palazzo Taddei (Florence) 或其他具体宫殿。,,,No results found,verification,"process of validating something, e.g. that a suspected fact is true",Deep Match via 'Verification' (From Notes): verification (Score: 95.0)
Palazzo Zenobio,,,,Place,[Category Fix] 威尼斯宫殿。,,,No results found,,,
Paola Berselli Ambri,,,,Person,现代学者（文学/历史）。,,,No results found,,,
Paolo Maccarani,,,,Person,,,,No results found,,,
Patron-artist relationship,,,,Concept,,,,No results found,,,
Pendentive Frescoes of the Church of the Gesù,,,,Work,"[OCR Fix] ""Ges迄"" -> ""Gesù""。高利（Baciccio）的壁画。",,,No results found,,,
Philippe Zygodon,,,Q126592664,Person,[Verify] 可能是现代人名或笔名，Zygodon 也是一种苔藓。待确认是否为 OCR 错误。,,,No results found,Verify,News channel addressing disinformation,Deep Match via 'Verify' (From Notes): Verify (Score: 95.0)
Pierre Motteux and his Family,,,Q28045163,Work,[Category Fix] 画作（可能是 Giovanni Antonio Pellegrini 的作品）。,,,No results found,Giovanni Antonio Pellegrini,painting by Giovanni Antonio Pellegrini,Deep Match via 'Giovanni Antonio Pellegrini' (From Notes): Giovanni Antonio Pellegrini (Score: 105.0)
Pietro Antonio Toni,,,,Person,,,,No results found,,,
Pietro Zuccoli,,,,Person,,,,No results found,,,
Pinacoteca Nazionale di Lucca,,,,Organization,[Category Fix] 卢卡国立美术馆。,,,No results found,,,
"Pope Pius V, St Thomas Aquinas, and St Vincent Ferrer",,,Q21715895,Work,[Category Fix] 画作主题。,,,No results found,St Vincent Ferrer,"painting by Juan de Juanes (Vicente Juan Masip), circa 1510-1579",Deep Match via 'St Vincent Ferrer' (Segment): St Vincent Ferrer (Score: 90.0)
Portrait of Field Marshal Schulenburg,,,,Work,[Category Fix] 帕尼尼或瓜尔迪等人的画作。,,,No results found,,,
Portrait of Madame Rosenberg,,,Q37188537,Work,[Category Fix] 可能是 Orsini-Rosenberg 伯爵夫人，Giustiniani 曾为其作画。,,,No results found,Giustiniani,family name,Deep Match via 'Giustiniani' (From Notes): Giustiniani (Score: 95.0)
Portrait of Streit's Father,,,Q107447653,Work,[Category Fix] Sigismund Streit 的相关画作。,,,No results found,Sigismund Streit,painting by Joseph Wagner,Deep Match via 'Sigismund Streit' (From Notes): Sigismund Streit (Score: 105.0)
Portrait of Streit's Mother,,,,Work,[Category Fix],,,No results found,,,
Portrait of Streit's Sister,,,,Work,[Category Fix],,,No results found,,,
Portrait of the Queen of Prussia,,,Q123998570,Work,[Category Fix] 可能是 Pesne 的画作。,,,No results found,Pesne,family name,Deep Match via 'Pesne' (From Notes): Pesne (Score: 95.0)
Portraits of Venetian Cardinals,,,,Work,[Category Fix] 系列画作。,,,No results found,,,
Portraits of Venetian Popes,,,,Work,[Category Fix] 系列画作。,,,No results found,,,
Portraits of the Doges of Venice,,Q17637706,,Work,[Category Fix] 总督宫的官方肖像系列。,History of the Doge's Palace in Venice,Wikipedia Search Result,Smart Match via 'Portraits of the Doges of Venice palace': History of the Doge's Palace in Venice (75.7),,,
Presenzini Cigoli,,,Q4741451,Person,[Ambiguous] 可能是 Lodovico Cigoli 的作品在 Presenzini 处，或是 OCR 误读。暂作 Person。,,,No results found,Ambiguous,2003 film by Toshiya Ueno,Deep Match via 'Ambiguous' (From Notes): Ambiguous (Score: 95.0)
Prices paid to artists,,,,Concept,[Category Fix] 经济史概念。,,,No results found,,,
Prince Peretti,,,Q23020710,Person,Peretti 家族亲王（如 Francesco Peretti）。,,,No results found,Peretti,family name,Deep Match via 'Peretti' (From Notes): Peretti (Score: 95.0)
Prince Pio di Savoia,,Q5479509,,Person,,Francesco Pio di Savoia,Wikipedia Search Result,Smart Match via 'Prince Pio di Savoia': Francesco Pio di Savoia (83.7),,,
Princess of Rossano,,,Q7086876,Person,Olimpia Aldobrandini 的头衔之一。,,,No results found,Olimpia Aldobrandini,Aldobrandini family member,Deep Match via 'Olimpia Aldobrandini' (From Notes): Olimpia Aldobrandini (Score: 95.0)
Procuratore Canale,,,,Person,[Validation] 官衔+姓氏。,,,No results found,,,
Prospero Pesci,,,Q2113358,Person,"18世纪博洛尼亚画家。 | [OCR Fix] ""Gasparo Prospero"" -> ""Prospero""? Prospero Pesci 是罗马画家。Gasparo 可能是误加。",,,No results found,Prospero,male given name,Deep Match via 'Prospero' (From Notes): Prospero (Score: 95.0)
Provincial centres of art patronage,,,,Concept,[Category Fix],,,No results found,,,
Publishers in Venice,,,,Group,[Category Fix] 职业群体。,,,No results found,,,
Quadri che rappresentano fatti della Sacra Scrittura,,,Q308885,Work,"[OCR Fix] ""Quadi"" -> ""Quadri""。指描绘圣经故事的画作系列。",,,No results found,Quadi,Germanic tribe,Deep Match via 'Quadi' (From Notes): Quadi (Score: 95.0)
Queen Jezebel Being Punished by Jehu,,,Q332494,Work,[Category Fix] 耶洗别之死（Luca Giordano 等人画作）。,,,No results found,Luca Giordano,Italian Baroque painter (1634–1705),Deep Match via 'Luca Giordano' (From Notes): Luca Giordano (Score: 95.0)
Raccolta di centododici stampe...,,,,Work,[Category Fix] 版画集（如瓦萨里、提埃坡罗等作品集）。,,,No results found,,,
Raphael Loggias,,,,Place,梵蒂冈拉斐尔回廊。,,,No results found,,,
Reception of Landscapes,,,Q16881132,Concept,[Category Fix] 原文误标为 Person。,,,No results found,Person,family name,Deep Match via 'Person' (From Notes): Person (Score: 95.0)
Relief of Field Marshal Schulenburg,,,Q37575942,Work,[Category Fix] 舒伦堡元帅的浮雕像（Corradini 作）。,,,No results found,Corradini,family name,Deep Match via 'Corradini' (From Notes): Corradini (Score: 95.0)
Religion Overthrowing Heresy,,,Q104591742,Work,[Category Fix] Le Gros 的雕塑或画作主题。,,,No results found,Le Gros,family name,Deep Match via 'Le Gros' (From Notes): Le Gros (Score: 95.0)
Religious Decorations at Whitehall,,,,Work,[Category Fix] 鲁本斯的天顶画或詹姆斯二世时期的装饰。,,,No results found,,,
Remondini family,,Q3932513,,Group,[Category Fix] 著名的巴萨诺印刷家族。,Remondini (firm),Wikipedia Search Result,Smart Match via 'Remondini family': Remondini (firm) (72.0),,,
Ritratto con cristallo,,,Q41719,Work,"[OCR Fix/Hypothesis] ""aistallo"" -> ""cristallo"" (Portait with a crystal)? 或其他物体。待查特定画作。",,,No results found,hypothesis,"proposed explanation for an observation, phenomenon, or scientific problem",Deep Match via 'Hypothesis' (From Notes): hypothesis (Score: 95.0)
Robert Alexander Waller Fund,,,,Organization,[Category Fix] 芝加哥艺术博物馆的基金。,,,No results found,,,
Rococo Pavilion,,,Q1123462,Place,[Context] 可能是宁芬堡的 Amalienburg 等。,,,No results found,ConTeXt,general-purpose document processor,Deep Match via 'Context' (From Notes): ConTeXt (Score: 95.0)
Rosalba Lorenzetti,,,,Person,现代学者/图书管理员。,,,No results found,,,
Ruins of the Church of the Cross,,,Q19273481,Work,[Category Fix] 可能是 Pannini 或 Hubert Robert 的画作。,,,No results found,Hubert Robert,painting by Élisabeth Vigée Le Brun,Deep Match via 'Hubert Robert' (From Notes): Hubert Robert (Score: 105.0)
Sacrifices to Priapus,,,,Work,[Category Fix] 祭祀普里阿普斯的主题。,,,No results found,,,
Samson Slaying a Thousand with the Jawbone of an Ass,,,Q71916787,Work,[Category Fix] 艺术主题。,,,No results found,The jawbone of an ass,scientific article published on 01 July 1981,Deep Match via 'the Jawbone of an Ass' (Segment): The jawbone of an ass (Score: 80.0)
San Niccolò al Lido,,Q379102,,Place,威尼斯利多岛教堂。,Monastery of San Nicolò al Lido,Wikipedia Search Result,Smart Match via 'San Niccolò al Lido': Monastery of San Nicolò al Lido (72.0),,,
Saverio Savini,,,,Person,,,,No results found,,,
Scenes from the Life of Scipio Africanus,,,,Work,[Category Fix] 历史画系列。,,,No results found,,,
Scenes of Christian Warfare,,,,Work,[Category Fix] 可能是圣战或十字军主题画作。,,,No results found,,,
Scenes of Venetian Noble Life,,,Q447058,Work,[Category Fix] Pietro Longhi 或 Guardi 的风俗画。,,,No results found,Pietro Longhi,Italian painter (1701-1785),Deep Match via 'Pietro Longhi' (From Notes): Pietro Longhi (Score: 95.0)
School of Carlo Cignani,,Q239980,,Group,[Category Fix] 艺术流派/工作室。,Carlo Cignani,Wikipedia Search Result,Smart Match via 'School of Carlo Cignani': Carlo Cignani (72.2),,,
Schönborn family,,Q872801,,Group,"[OCR Fix] ""Sch?nborn"" -> ""Schönborn""。德国贵族家族。",Schönburg family,Wikipedia Match,Smart Match via 'Schönborn family': Schönburg family (97.5),,,
Sculptures for the Cathedral,,,,Work,[Category Fix] 泛指，需结合具体教堂。,,,No results found,,,
Scuola Grande dei Carmini / Carità?,,,Q1140419,Place,"[Ambiguity] ""Carita"" 可能是 ""Santa Maria della Carità"" (威尼斯学院美术馆前身)。",,,No results found,ambiguity,type of uncertainty of meaning in which several interpretations are plausible,Deep Match via 'Ambiguity' (From Notes): ambiguity (Score: 95.0)
Sebastiano Marcotti,,,Q1263068,Person,17世纪版画家（活跃于那不勒斯）。 | [Duplicate],,,No results found,duplicate entry,duplicate database entry (see Q17362920 Wikimedia duplicated page); reason for deprecation,Deep Match via 'Duplicate' (From Notes): duplicate entry (Score: 71.2)
Sebastiano Molino,,,Q27876769,Person,可能是 Sebastiano Molina (画家) 或 Molin 家族成员。,,,No results found,Molin,family name,Deep Match via 'Molin' (From Notes): Molin (Score: 95.0)
Self-Portrait as Winter,,Q2546309,,Work,[Category Fix] 罗萨尔巴·卡列拉的色粉画。,"Self-Portrait (Dürer, Munich)",Wikipedia Search Result,"Smart Match via 'Self-Portrait as Winter': Self-Portrait (Dürer, Munich) (72.2)",,,
Series of Egyptian Figures,,,Q7197717,Work,[Category Fix] 可能是 Piranesi 的装饰设计。,,,No results found,Piranesi,family name,Deep Match via 'Piranesi' (From Notes): Piranesi (Score: 95.0)
Series of Etruscan Phallic Symbols,,,,Work,[Category Fix] 考古绘图或收藏。,,,No results found,,,
Service de Documentation Photographique des Musées Nationaux,,,,Organization,[Category Fix] 法国博物馆影像中心（RMN）。,,,No results found,,,
Servizio particolare,,,,Concept,"[Category Fix] ""Specific Service"" (Diplomatic or artistic commission)。",,,No results found,,,
Sheila Rinehart,,,,Person,艺术史学家。,,,No results found,,,
Silvia Meloni Trkulja,,,,Person,现代艺术史学家（佛罗伦萨专家）。,,,No results found,,,
Sketch for Venus at the Forge of Vulcan,,,Q16860286,Work,[Category Fix] 提埃坡罗或 Boucher 的草图。,,,No results found,Boucher,family name,Deep Match via 'Boucher' (From Notes): Boucher (Score: 95.0)
Social position of the artist,,,,Concept,[Category Fix] 社会史概念。,,,No results found,,,
Social significance of painting,,,,Concept,[Category Fix] 研究主题。,,,No results found,,,
Social status of artists,,,,Concept,[Validation] 艺术史研究主题。,,,No results found,,,
Soderini family,,Q6806668,,Group,佛罗伦萨家族。,Medici family tree,Wikipedia Search Result,Smart Match via 'Soderini family family': Medici family tree (70.6),,,
Soprintendenza alle Gallerie,,,,Organization,[Category Fix] 意大利文物监管机构。,,,No results found,,,
Spanish patronage,,,,Concept,[Category Fix],,,No results found,,,
St Stanislaus Kostka on his Deathbed,,,Q104591742,Work,[Category Fix] Le Gros 的著名雕塑。,,,No results found,Le Gros,family name,Deep Match via 'Le Gros' (From Notes): Le Gros (Score: 95.0)
Stamperia Albrizzi,,,Q61960994,Organization,[Category Fix] 威尼斯印刷厂。 | [Category Fix] 威尼斯著名出版商 Albrizzi。,,,No results found,Albrizzi,family name,Deep Match via 'Albrizzi' (From Notes): Albrizzi (Score: 95.0)
State Inquisition,,Q43173,,Organization,"[OCR Fix] ""Squidition"" -> ""Inquisition""。威尼斯国家宗教裁判所/特务机构。",Inquisition,Wikipedia Search Result,Smart Match via 'State Inquisition': Inquisition (78.6),,,
Statue of Field Marshal Schulenburg,,,Q1263068,Work,[Category Fix] 科拉迪尼的作品（科孚岛）。 | [Duplicate] 同 3582。,,,No results found,duplicate entry,duplicate database entry (see Q17362920 Wikimedia duplicated page); reason for deprecation,Deep Match via 'Duplicate' (From Notes): duplicate entry (Score: 71.2)
Statue of Hercules killing the Hydra,,,Q99905747,Work,[Category Fix] 古代雕塑修复（Algardi 等）。,,,No results found,Algardi,family name,Deep Match via 'Algardi' (From Notes): Algardi (Score: 95.0)
Statues of the Apostles (Lateran),,,Q37127610,Work,[Category Fix] 拉特朗大殿的使徒像系列（Rusconi 等）。,,,No results found,Rusconi,family name,Deep Match via 'Rusconi' (From Notes): Rusconi (Score: 95.0)
Status-seeking (Concept),,,,Concept,[Validation] 社会学/艺术史概念。,,,No results found,,,
Stefano Sagredo,,,,Person,,,,No results found,,,
Stoicism in 17th century,,,,Concept,[Category Fix] 哲学思潮。,,,No results found,,,
Strada Emanuele,,,,Place,可能是马耳他或意大利某地街道。,,,No results found,,,
Strength protecting Wisdom,,,,Work,[Category Fix] 提埃坡罗的画作。,,,No results found,,,
Study for the Fountain of the Four Rivers,,,,Work,[Validation] 贝尼尼作品草图。,,,No results found,,,
Sulla maniera di Zorzone,,,Q216353,Work,"[Category Fix] ""On the manner of Giorgione"" (Title/Concept)。",,,No results found,title,"qualified name, rank, or other indication of a class or role given to or inherited by a person, often affixed to a person's name",Deep Match via 'Title' (From Notes): title (Score: 95.0)
Tarantella Dancers,,Q324617,,Work,[Category Fix] 可能是专门描绘塔兰泰拉舞的画作或版画。,Tarantella,Wikipedia Search Result,Smart Match via 'Tarantella Dancers': Tarantella (71.4),,,
Tavole Barberini,,,Q2245140,Work,[Category Fix] Fra Carnevale 的著名画板（现分藏纽约和波士顿）。,,,No results found,Fra Carnevale,Italian painter (1420-1484),Deep Match via 'Fra Carnevale' (From Notes): Fra Carnevale (Score: 95.0)
Teodora dal Pozzo,,,Q1048333,Person,Cassiano dal Pozzo 的女儿/继承人。,,,No results found,Cassiano dal Pozzo,Italian scholar and art patron (1588-1657),Deep Match via 'Cassiano dal Pozzo' (From Notes): Cassiano dal Pozzo (Score: 95.0)
Teresa Maria Marcellino,,,Q126592664,Person,[Verify] 可能是 Teresa Maria Marcolini (歌手) 或其他名字的误读。,,,No results found,Verify,News channel addressing disinformation,Deep Match via 'Verify' (From Notes): Verify (Score: 95.0)
The Adoration of the Mystic Lamb,,Q7605295,,Work,[Category Fix] 根特祭坛画（凡·艾克）。,Stealing the Mystic Lamb,Wikipedia Search Result,Smart Match via 'The Adoration of the Mystic Lamb': Stealing the Mystic Lamb (75.0),,,
The Arrival at the Palace,,,Q116750073,Work,[Category Fix] 可能是 Carpaccio 圣乌苏拉系列或其他叙事画。,,,No results found,Carpaccio,family name,Deep Match via 'Carpaccio' (From Notes): Carpaccio (Score: 95.0)
The Assumption of St Aloysius Gonzaga,,,Q334262,Work,[Category Fix] Guercino 等人的画作。,,,No results found,Guercino,painter of the Italian 17th century (1591–1666),Deep Match via 'Guercino' (From Notes): Guercino (Score: 95.0)
The Capture of Syracuse with the Death of Archimedes,,,Q52145427,Work,[Category Fix],,,No results found,The Death of Archimedes,painting by Luca Giordano,Deep Match via 'the Death of Archimedes' (Segment): The Death of Archimedes (Score: 90.0)
The Death of St Francis Xavier,,Q27979751,,Work,[Category Fix] Baciccio 或 Maratti 的画作。,Miracles of St. Francis Xavier (Rubens),Wikipedia Search Result,Smart Match via 'The Death of St Francis Xavier painting': Miracles of St. Francis Xavier (Rubens) (73.3),,,
The Ecstasy of Saint Margaret of Cortona,,Q85758544,,Work,[Category Fix] Lanfranco 的画作。,Ecstasy of St Margaret of Cortona,Wikipedia Search Result,Smart Match via 'The Ecstasy of Saint Margaret of Cortona': Ecstasy of St Margaret of Cortona (90.4),,,
The Emperor Augustus Closing the Doors of the Temple of Janus,,Q72671544,,Work,[Category Fix] Carlo Maratti 的画作。,The Emperor Augustus Closes the Doors of the Temple of Janus,Wikipedia Search Result,Smart Match via 'The Emperor Augustus Closing the Doors of the Temple of Janus': The Emperor Augustus Closes the Doors of the Temple of Janus (95.9),,,
The Four Continents paying homage to Karl Philip von Greiffenklau,,,,Work,[Category Fix] 提埃坡罗在 Würzburg 的天顶画。,,,No results found,,,
The Glorification of the Trinity with the Adoration of the Instruments of Passion,,,,Work,[Category Fix] 可能是特定祭坛画。,,,No results found,,,
The Glory of Saint Aloysius Gonzaga,,,Q334262,Work,[Category Fix] Guercino 或 Pozzo 的作品。,,,No results found,Guercino,painter of the Italian 17th century (1591–1666),Deep Match via 'Guercino' (From Notes): Guercino (Score: 95.0)
The Glory of St Dominic,,,Q109061,Work,[Category Fix] Guido Reni 或 Piazzetta 的画作。,,,No results found,Guido Reni,Bolognese painter (1575–1642),Deep Match via 'Guido Reni' (From Notes): Guido Reni (Score: 95.0)
The Infant Jupiter handed over by Cybele to the Corybantes,,,Q108603989,Work,"[OCR Fix] ""befed"" -> ""be fed""。",,,No results found,BEFeD,restaurant shops in Italy and France,Deep Match via 'befed' (From Notes): BEFeD (Score: 95.0)
The Institution of the Rosary,,,,Work,[Category Fix] 提埃坡罗等人的画作。,,,No results found,,,
The Life of Saint Ursula,,Q605725,,Work,[Category Fix] Carpaccio 的著名系列画作。,Legend of Saint Ursula,Wikipedia Search Result,Smart Match via 'The Life of Saint Ursula painting': Legend of Saint Ursula (78.3),,,
The Power of Eloquence,,,,Work,[Category Fix] 提埃坡罗在 Würzburg 的天顶画局部或寓意画。,,,No results found,,,
The Rehearsal of an Opera,,,Q930162,Work,[Category Fix] Marco Ricci 的画作。,,,No results found,Marco Ricci,"Italian painter, engraver and stage designer (1676-1730)",Deep Match via 'Marco Ricci' (From Notes): Marco Ricci (Score: 95.0)
The Revolt of Masaniello,,,Q16881132,Work,[Category Fix] 原文误标为 Person。指描绘该事件的画作（Spadaro/Cerquozzi）。,,,No results found,Person,family name,Deep Match via 'Person' (From Notes): Person (Score: 95.0)
The Sala Grande of the Ridotto (Palazzo Dandolo),,,Q1068131,Place,"[OCR Fix] ""S. Mois豕"" -> ""San Moisè""。威尼斯著名的赌场大厅。",,,No results found,San Moisè,church in Venice,Deep Match via 'San Mois' (From Notes): San Moisè (Score: 89.4)
The Stoning of Zechariah,,Q492091,,Work,[Category Fix],Tomb of Zechariah,Wikipedia Search Result,Smart Match via 'The Stoning of Zechariah': Tomb of Zechariah (73.2),,,
The Three Angels Visiting Abraham,,,,Work,[Category Fix] 提埃坡罗等。,,,No results found,,,
The Virgin Giving the Habit to Saint Teresa,,,,Work,[Category Fix],,,No results found,,,
The War between the Romans and the Sabines,,,,Work,[Category Fix] 历史画。,,,No results found,,,
Third Colonnade for St. Peter's Square,,,,Work,[Category Fix] 贝尼尼的未建设计方案。,,,No results found,,,
"Three Dominican Saints: Vincent, Hyacinth and Lawrence",,,Q20355258,Work,[Category Fix] 提埃坡罗在Gesuati的画作 (The Virgin Appearing to St. Dominic...) 的相关部分或独立画作。,,,No results found,Gesuati,painting by Richard Mortensen,Deep Match via 'Gesuati' (From Notes): Gesuati (Score: 105.0)
Three Portraits of Dogs,,,Q334262,Work,[Category Fix] Guercino 或其他画家的作品。,,,No results found,Guercino,painter of the Italian 17th century (1591–1666),Deep Match via 'Guercino' (From Notes): Guercino (Score: 95.0)
Tiberio Roberti,,,,Person,18-19世纪巴萨诺贵族，卡诺瓦的朋友。,,,No results found,,,
Tiepolo's Etchings,,,Q2278308,Work,[Category Fix] 提埃坡罗版画集 (Capricci/Scherzi)。,,,No results found,capriccio,architectural fantasy in painting,Deep Match via 'Capricci' (From Notes): capriccio (Score: 99.4)
Titles granted to artists,,,,Concept,[Category Fix] 社会史概念。,,,No results found,,,
Twelve Watercolors of Venetian Women,,,,Work,[Category Fix] Grevembroch 或其他人的风俗画册。,,,No results found,,,
Two Baskets of Fruit and Flowers,,,Q115945493,Work,[Category Fix] 静物画。,,,No results found,Flowers,2023 single by Miley Cyrus,Deep Match via 'Flowers' (Segment): Flowers (Score: 80.0)
Ufficio dell'Assessore Comunale alle Belle Arti,,,,Organization,[Category Fix] 市政艺术办公室。,,,No results found,,,
Uffizi / Pitti (Gallerie Fiorentine),,,,Place,[Validation] 佛罗伦萨美术馆统称。,,,No results found,,,
Un trionfo d'armi,,,Q3073297,Work,[Category Fix] 可能是 Flaminio Torri 的画作。,,,No results found,Flaminio Torre,Italian painter (1620-1661),Deep Match via 'Flaminio Torri' (From Notes): Flaminio Torre (Score: 88.2)
Valerio Antonio Zarzabini,,,,Person,[Validation] 人物。,,,No results found,,,
Valerio Vanetti,,,,Person,,,,No results found,,,
Venetian artists in 18th-century Paris,,,,Group,[Category Fix] 群体/概念。,,,No results found,,,
Venetian artists in Madrid,,,Q16881132,Group,[Category Fix] 原文误标为 Person (群体概念)。,,,No results found,Person,family name,Deep Match via 'Person' (From Notes): Person (Score: 95.0)
Venetian artists in St Petersburg,,,,Group,[Category Fix] 艺术群体。,,,No results found,,,
Venetian painting in Moscow,,Q610687,,Concept,[Category Fix] 指“莫斯科的威尼斯绘画收藏”这一概念/主题。,Venetian painting,Wikipedia Search Result,Smart Match via 'Venetian painting in Moscow': Venetian painting (87.3),,,
Ventura Carrara,,,,Person,,,,No results found,,,
Ventura Furlani,,,,Person,,,,No results found,,,
Ventura Rossi,,,,Person,建筑师/画家。,,,No results found,,,
Venus Leaving the Bath,,,,Work,[Category Fix] 布歇、提香等。,,,No results found,,,
Via de' Giubbonari,,,,Place,罗马街道。,,,No results found,,,
View of Venice: The Doge's Palace,,,Q182664,Work,[Category Fix] Canaletto 或 Guardi 的画作。,,,No results found,Canaletto,Italian painter of landscapes (1697–1768),Deep Match via 'Canaletto' (From Notes): Canaletto (Score: 95.0)
Vigilia di San Pietro,,,,Event,[OCR/Category Fix] 圣彼得节前夜（威尼斯节日），常为画作主题。,,,No results found,,,
Villa Altichiero,,,Q58209764,Place,[Validation] 威尼斯Querini家族别墅。,,,No results found,Querini,family name,Deep Match via 'Querini' (From Notes): Querini (Score: 95.0)
Vincenzo Radicchio,,,,Person,,,,No results found,,,
Vincenzo da Canal,,,,Person,威尼斯贵族/艺术史学家（《Vita di Gregorio Lazzarini》作者）。,,,No results found,,,
Virgin Protecting the City of Spoleto,,,,Work,[Category Fix] 祭坛画。,,,No results found,,,
Viterbo / Moroni,,,Q13395,Place/Person,"[Split Required] 错误合并。Viterbo (地点), Gaetano Moroni (作家)。",,,No results found,Viterbo,Italian commune (comune) in Lazio,Deep Match via 'Viterbo' (From Notes): Viterbo (Score: 95.0)
William Chandler Kirwin,,,,Person,艺术史学家。,,,No results found,,,
"William Cowper, 1st Earl Cowper / The Cowper Madonna?",,,Q1140419,Person/Work,"[Ambiguity] 若为画作 ""Cowper Madonna"" (Raphael) 则为 Work。若为人名，则是收藏家。根据 E22 标记，可能是画作 (The Small Cowper Madonna / The Niccolini-Cowper Madonna)。建议：The Cowper Madonna。",,,No results found,ambiguity,type of uncertainty of meaning in which several interpretations are plausible,Deep Match via 'Ambiguity' (From Notes): ambiguity (Score: 95.0)
Wirich Philipp von Daun / Leopold Joseph von Daun,,,,Person,[Disambiguation] 奥地利元帅。,,,No results found,,,
Woman Playing a Musical Instrument,,Q78161748,,Work,[Category Fix] 风俗画。,Woman Playing a Guitar (Vouet),Wikipedia Search Result,Smart Match via 'Woman Playing a Musical Instrument painting': Woman Playing a Guitar (Vouet) (71.4),,,
Women Washing their Laundry at a Fountain,,,Q4927937,Work,[Category Fix] Robert 或 Boucher 画作。,,,No results found,Robert,male given name,Deep Match via 'Robert' (From Notes): Robert (Score: 95.0)
Würzburg Residence Frescoes,,Q156316,,Work,[Validation] 提埃坡罗代表作。,Würzburg Residence,Wikipedia Search Result,Smart Match via 'Würzburg Residence Frescoes': Würzburg Residence (80.0),,,
Youth Rescued from the Pleasures of Venus,,,Q333323,Work,[Category Fix] 寓意画（Pietro da Cortona）。,,,No results found,Pietro da Cortona,Italian painter and architect of the High Baroque (1596-1669),Deep Match via 'Pietro da Cortona' (From Notes): Pietro da Cortona (Score: 95.0)
Zenobio family,,,,Group,威尼斯贵族。,,,No results found,,,
