Refined_Formal_Name,Refined_Category,Original_Entry,Status/Notes
Macerata,Organization,Municipality of Macerata,[Category Fix] 马切拉塔市政府。
Marcantonio Chiarini,Person,"Chiarini, Marcantonio",[Reconstruction] 博洛尼亚画家 (Quadraturista)。
Marcantonio Chiarini,Person,Marc'Antonio Chiarini,[Validation] 博洛尼亚画家 (Quadraturista)。
Marche,Place,Marche,意大利马尔凯大区。
Marche,Place,Marches,"""Marche"" 的英语复数形式，标准化为 Marche。"
Marguerite Louise d'Orléans,Person,Marguerite Louise d'Orl谷ans,"[OCR Fix] 乱码修复 ""Orl谷ans"" -> ""Orléans""。托斯卡纳大公夫人。"
Marguerite Louise d'Orléans,Person,"Orleans, Margherite d'",托斯卡纳大公夫人。
Marie Thérèse Rodet Geoffrin,Person,"Geoffrin, Mme",[Disambiguation] 著名沙龙女主人。
Marie Thérèse Rodet Geoffrin,Person,Marie Th谷r豕se Rodet Geoffrin,[OCR Fix] 乱码修复。若弗兰夫人，著名的沙龙女主人。
Marie de' Medici,Person,Marie de' Medici,法国玛丽·德·美第奇王后。
Marie de' Medici,Person,"Medici, Marie de",法国玛丽·德·美第奇王后。
Mario Chigi,Person,"Chigi, Don Mario (brother to Pope Alexander VII)",[Reconstruction] 教皇兄弟。
Mario Chigi,Person,Mario Chigi,基吉家族成员（如教皇亚历山大七世的兄弟）。
Mario Minniti,Person,Mario Minniti,卡拉瓦乔的朋友和模特，西西里画家。
Mario Minniti,Person,"Minitti, Mario","[OCR Fix] ""Minitti"" -> ""Minniti""。卡拉瓦乔的朋友/模特。"
Mario Nuzzi,Person,Mario Nuzzi,"别名 ""Mario dei Fiori""，以画花卉著称。"
Mario Nuzzi,Person,"Nuzzi, Mario (Mario de' Fiori)",别名 Mario dei Fiori，花卉画家。
Martino Longhi the Elder,Person,"Longhi, Martino, the Elder",[Validation] 建筑师。
Martino Longhi the Elder,Person,Martino Longhi,建筑师老马蒂诺·朗吉。
Martino Longhi the Younger,Person,"Longhi, Martino, the Younger",[Validation] 建筑师。
Martino Longhi the Younger,Person,Martino Longhi the Younger,建筑师小马蒂诺·朗吉。
Masaniello,Person,Masanella,"[OCR/Typo Fix] 极可能是 ""Masaniello""（那不勒斯渔民起义领袖）的误拼。"
Masaniello,Person,Masaniello,托马索·阿涅洛（Tommaso Aniello），那不勒斯起义领袖。
Massimiliano Soldani Benzi,Person,Massimiliano Soldani Benzi,佛罗伦萨雕塑家和章牌制作者。
Massimiliano Soldani Benzi,Person,"Soldani, Massimiliano",佛罗伦萨雕塑家/章牌师。
Matthäus Daniel Pöppelmann,Person,Matth?us Daniel P?ppelmann,[OCR Fix] 乱码修复。德累斯顿茨温格宫的建筑师。
Matthäus Daniel Pöppelmann,Person,"P?ppelmann, Matthes Daniel","[OCR Fix] ""P?ppelmann"" -> ""Pöppelmann""。德累斯顿建筑师。"
Mattia de' Rossi,Person,Mattia de Rossi,建筑师，贝尼尼的学生和助手。
Mattia de' Rossi,Person,"Rossi, Mattia de'",建筑师（贝尼尼学生）。
Mauro Antonio Tesi,Person,Mauro Antonio Tesi,18世纪博洛尼亚画家和建筑师。
Mauro Antonio Tesi,Person,"Tesi, Mauro",别名 Maurino。
"Maximilian II Emanuel, Elector of Bavaria",Person,"Max Emmanuel, Elector of Bavaria",巴伐利亚选帝侯。
"Maximilian II Emanuel, Elector of Bavaria",Person,"Maximilian, Prince, Elector of Bavaria",[Merge Candidate] 指向 Max Emmanuel。
Michelangelo,Person,Michelangelo,米开朗基罗。
Michelangelo,Person,Michelangelo di Lodovico Buonarroti Simoni,[Merge Candidate] 米开朗基罗全名。
Michele Giustiniani,Person,"Giustiniani, Abbate Michele",[Reconstruction] 历史学家/作家。
Michele Giustiniani,Person,Michele Giustiniani,17世纪作家。
Michiel Sweerts,Person,Michiel Sweerts,佛兰芒巴洛克画家。
Michiel Sweerts,Person,"Sweerts, Michael",佛兰芒画家。
Monsieur de Blainville,Person,Blainville,[Disambiguation] 旅行家 (著有Travels)。
Monsieur de Blainville,Person,"Blainville, Monsieur de",[Validation] 同上。
Monsieur de Blainville,Person,Jean Armand de Blainville,[Disambiguation] 旅行记作者 (可能化名)。
Niccolò Circignani,Person,Niccol辰 Circignani,"[OCR Fix] ""辰"" -> ""ò""。别名 Il Pomarancio。"
Niccolò Circignani,Person,"Pomarance, Niccol辰 Circignani dalle","[OCR Fix] ""Niccol辰"" -> ""Niccolò""。别名 Il Pomarancio。"
Niccolò Machiavelli,Person,Machiavelli,[Disambiguation] 马基雅维利。
Niccolò Machiavelli,Person,Niccol辰 Machiavelli,"[OCR Fix] ""辰"" -> ""ò""。马基雅维利。"
Niccolò Maria Pallavicini,Person,Marchese Niccolo Maria Pallavicini,罗马重要的艺术赞助人（Maratti 的赞助者）。
Niccolò Maria Pallavicini,Person,"Pallavicini, Marchese Niccol辰 Maria","[OCR Fix] ""辰"" -> ""ò""。"
Niccolò Sagredo,Person,Nicol辰 Sagredo,"[OCR Fix] ""辰"" -> ""ò""。威尼斯总督。"
Niccolò Sagredo,Person,"Sagredo, Niccol辰","[OCR Fix] ""辰"" -> ""ò""。威尼斯总督。"
Nicolas Malebranche,Person,"Malebranche, Nicolas de",[Validation] 哲学家。
Nicolas Malebranche,Person,Nicolas Malebranche,哲学家。
Nicolas-Claude Fabri de Peiresc,Person,Nicolas-Claude Fabri de Peiresc,著名的学者和古董收藏家。
Nicolas-Claude Fabri de Peiresc,Person,"Peiresc, Nicolas-Claude-Fabri de",
Nicolas-Claude Fabri de Peiresc,Person,Provencal antiquary Peiresc,[Category Fix] 原文误标为 Place。Peiresc 是普罗旺斯人。
Nymphenburg Palace,Place,"Munich, Nymphenburg palace",慕尼黑宁芬堡宫。
Nymphenburg Palace,Place,Nymphenburg,宁芬堡。
Orazio Arrighi Landini,Person,"Arrighi-Landini, Orazio",[Reconstruction] 18世纪作家/翻译家。
Orazio Arrighi Landini,Person,Orazio Arrighi Landini,17世纪人物。
Orazio Riminaldi,Person,Orazio Riminaldi,比萨画家。
Orazio Riminaldi,Person,Riminaldi,比萨画家。
Ottavio Novaroli,Person,"Novaroli, P. Octavio",17世纪人物（可能是神职人员）。
Ottavio Novaroli,Person,Ottavio Novaroli,"[Duplicate] 同 Novaroli, P. Octavio。"
Owen McSwiny,Person,Owen McSwiny,剧院经理，卡纳莱托等人的经纪人。
Owen McSwiny,Person,Owen Swiny,[Merge Candidate] 同 Owen McSwiny。
Pacecco De Rosa,Person,Pacecco De Rosa,那不勒斯画家。
Pacecco De Rosa,Person,"Rosa, Paceco de",(Francesco De Rosa) 那不勒斯画家。
Palazzo Barberini,Place,Barberini palace,[Validation] 罗马宫殿。
Palazzo Barberini,Place,Palazzo Barberini,罗马巴贝里尼宫。
Palazzo Clerici,Place,Clerici Palace,[Validation] 米兰宫殿 (提埃坡罗壁画)。
Palazzo Clerici,Place,Palazzo Clerici,米兰宫殿（提埃坡罗壁画）。
Palazzo Colonna,Place,Colonna palace,[Validation] 罗马宫殿。
Palazzo Colonna,Place,Palazzo Colonna,罗马科隆纳宫。
Palazzo Farnese,Place,Farnese Palace,[Category Fix] 原文误标为 Work。
Palazzo Farnese,Place,Palazzo Farnese,罗马法尔内塞宫。
Palazzo Foscarini (Venice),Place,Marco Foscarini's palace,位于威尼斯 Carmini 的宫殿。
Palazzo Foscarini (Venice),Place,Palazzo Foscarini,
Palazzo Gondi,Place,Gondi palace,[Validation] 佛罗伦萨宫殿。
Palazzo Gondi,Place,Palazzo Gondi,佛罗伦萨宫殿。
Palazzo Manin,Place,Manin palace,[Category Fix] 原文误标为 Work。
Palazzo Manin,Place,Palazzo Manin,威尼斯宫殿（现为意大利银行）。
Palazzo Medici Riccardi,Place,Palazzo Medici Riccardi,佛罗伦萨美第奇-里卡迪宫。
Palazzo Medici Riccardi,Place,Riccardi palace,[Category Fix] 佛罗伦萨宫殿。
Palazzo Pamphilj (Piazza Navona),Place,Palazzo Pamphilj,罗马纳沃纳广场的潘菲利宫。
Palazzo Pamphilj (Piazza Navona),Place,Pamfili palace (Piazza Navona),[Category Fix] 原文误标为 Man-Made Object。
Palazzo Pitti,Place,Palazzo Pitti,佛罗伦萨皮蒂宫。
Palazzo Pitti,Place,Pitti Palace,[Category Fix] 原文误标为 Man-Made Object。
Palma il Giovane,Person,Jacopo Palma il Giovane,[Validation] 威尼斯画家。
Palma il Giovane,Person,"Palma, Jacopo (il Giovane)",威尼斯画家小帕尔马。
Paola Zambelli,Person,Paola Zambelli,现代哲学史学家。
Paola Zambelli,Person,"Zambelli, Dr Paola",科学史学家。
Paolo Emilio Sfondrati,Person,Paolo Emilio Sfondrati,红衣主教（圣塞西莉亚遗骸发现者）。
Paolo Emilio Sfondrati,Person,"Sfondrato, Cardinal",红衣主教 Sfondrati（圣塞西莉亚赞助人）。
Paolo Gerolamo Piola,Person,Paolo Gerolamo Piola,热那亚画家。
Paolo Gerolamo Piola,Person,"Piola, Paolo Girolamo",热那亚画家。
Paolo Giordano I Orsini,Person,"Bracciano, Paolo Giordano I Orsini, Duke of",[Reconstruction] 第一代布拉恰诺公爵。
Paolo Giordano I Orsini,Person,Paolo Giordano I Orsini,布拉恰诺公爵。
Paolo Giordano II Orsini,Person,"Bracciano, Paolo Giordona II Orsini, Duke of","[OCR Fix] ""Giordona"" -> ""Giordano""。"
Paolo Giordano II Orsini,Person,Paolo Giordano Orsini II,艺术赞助人，诗人。
Paolo Giordano Orsini,Person,"Bracciano, Duke of",[Context] 通常指 Orsini 公爵 (需视具体年代)。
Paolo Giordano Orsini,Person,"Orsini, Paolo Giordano",奥尔西尼家族成员。
Paolo Veronese,Person,Paolo Veronese,委罗内塞。
Paolo Veronese,Person,Paul Varnish,[Disambiguation] 18世纪英国对 Veronese 的滑稽音译/戏称。
Parmigianino,Person,Girolamo Francesco Maria Mazzola,[Disambiguation] 帕尔米贾尼诺。
Parmigianino,Person,"Parmigianino, Francesco",[Category Fix] 原文误标为 Place。帕尔米贾尼诺。
Paul Fréart de Chantelou,Person,"Chantelou, Paul-Fréart de",[Reconstruction] 贝尼尼在法国的接待者/日记作者。
Paul Fréart de Chantelou,Person,Paul Fr谷art de Chantelou,"[OCR Fix] ""Fr谷art"" -> ""Fréart""。贝尼尼在法国的向导。"
Paul V,Person,"Borghese, Camillo (Pope Paul V)",[Disambiguation] 教皇保罗五世。
Paul V,Person,"Paul V, Pope",教皇保罗五世（Borghese）。
Pedro Berruguete,Person,"Berreguete, Pedro","[OCR Fix] ""Berreguete"" -> ""Berruguete""。"
Pedro Berruguete,Person,Pedro Berruguete,西班牙画家。
Peter Anthony Motteux,Person,"Motteux, Pierre",(Pierre Antoine Motteux) 法国出生的英国剧作家/翻译家。
Peter Anthony Motteux,Person,Peter Anthony Motteux,(Pierre Antoine Motteux) 作家/翻译家。
"Philippe II, Duke of Orléans",Person,"Orleans, Philippe d', Regent",法国摄政王。
"Philippe II, Duke of Orléans",Person,"Philippe II, Duke of Orl谷ans","[OCR Fix] ""Orl谷ans"" -> ""Orléans""。"
Philips Wouwerman,Person,Philips Wouwerman,荷兰画家。
Philips Wouwerman,Person,"Wouwermans, Philips",荷兰画家。
Piazza della Santissima Annunziata,Place,Annunciation Square,[Standardization] 佛罗伦萨广场。
Piazza della Santissima Annunziata,Place,piazza della Santissima Annunziata,佛罗伦萨广场。
Pierre Louis Maupertuis,Person,"Maupertuis, Pierre-Louis",法国数学家和哲学家。
Pierre Louis Maupertuis,Person,Pierre-Louis Moreau de Maupertuis,数学家/天文学家。
Pierre-Jean Grosley,Person,"Grosley, Pierre Jean",[Validation] 法国作家 (Nouveaux mémoires sur l'Italie)。
Pierre-Jean Grosley,Person,Pierre-Jean Grosley,法国旅行作家。
Pierre-Étienne Monnot,Person,"Monnot, Pierre",法国雕塑家，主要活跃于罗马。
Pierre-Étienne Monnot,Person,Pierre-谷tienne Monnot,"[OCR Fix] ""谷tienne"" -> ""Étienne""。雕塑家。"
Pieter Mulier the Younger,Person,"Mulier, Pietro","别名 ""Il Tempesta""。"
Pieter Mulier the Younger,Person,Pieter Mulier,别名 Il Tempesta。
Pietro Aldobrandini,Person,"Aldobrandini, Cardinal Pietro (nephew of Pope Clement VIII)",[Disambiguation] 彼得罗·阿尔多布兰迪尼枢机。
Pietro Aldobrandini,Person,Pietro Aldobrandini,红衣主教，重要赞助人。
Pietro Antonio Zaguri,Person,Pietro Antonio Zaguri,威尼斯贵族/赞助人。
Pietro Antonio Zaguri,Person,"Zaguri, Pietro",威尼斯参议员/赞助人。
Pietro Francavilla,Person,"Francavilla, Pietro",[Category Fix] 原文误标为 Man-Made Object。雕塑家。
Pietro Francavilla,Person,Pietro Francavilla,(Pierre de Francqueville) 佛罗伦萨雕塑家。
Pietro Ottoboni,Person,"Ottoboni, Cardinal Pietro (nephew...)",著名的艺术赞助人，亚历山大八世的侄孙。
Pietro Ottoboni,Person,Pietro Ottoboni,著名的红衣主教与艺术赞助人。
Pietro Paltronieri,Person,"Paltronieri, Pietro ('il Mirandolese')",别名 Il Mirandolese，透视画法画家。
Pietro Paltronieri,Person,Pietro Paltronieri,别名 Il Mirandolese。
Pietro Santi Bartoli,Person,"Bartoli, Pietro Santo","[OCR Fix] 修正 ""Santo"" 为 ""Santi""。版画家/古物学家。"
Pietro Santi Bartoli,Person,Pietro Santi Bartoli,罗马版画家/古董学者。
Pietro da Cortona,Person,"Berrettini, Pietro (Pietro da Cortona)",[Disambiguation] 皮耶特罗·达·科尔托纳。
Pietro da Cortona,Person,Pietro da Cortona,皮埃特罗·达·科尔托纳。
Pietro de' Pietri,Person,"Pietri, Pietro di",罗马晚期巴洛克画家。
Pietro de' Pietri,Person,Pietro da Pietri,
Pietà,Work,Pieta,"[OCR Fix/Ambiguous] ""Pieta"" -> ""Pietà""。指圣母怜子主题艺术品（如米开朗基罗或提香）。"
Pietà,Work,Piet角,"[OCR Fix] ""Piet角"" -> ""Pietà""。圣母怜子图。"
Pompeo Batoni,Person,"Batoni, Pompeo",[Reconstruction] 罗马肖像画家。
Pompeo Batoni,Person,Pompeo Girolamo Batoni,庞贝奥·巴托尼。
Portrait of Donna Olimpia Maidalchini,Work,Portrait of Donna Olimpia,[Category Fix] 可能是 Bacciccio 的画作或半身像。
Portrait of Donna Olimpia Maidalchini,Work,Portrait of Donna Olimpia Maidalchini,[Category Fix]
Portrait of Innocent X,Work,Portrait of Innocent X,[Category Fix] 委拉斯开兹的著名画作。
Portrait of Innocent X,Work,Portrait of Pope Innocent X Pamphili,[Category Fix] 同上。
Prospero Pesci,Person,Gasparo Prospero Pesci,"[OCR Fix] ""Gasparo Prospero"" -> ""Prospero""? Prospero Pesci 是罗马画家。Gasparo 可能是误加。"
Prospero Pesci,Person,"Pesci, Prospero",18世纪博洛尼亚画家。
Quirinal Hill,Place,Quirinal,罗马奎里纳尔山。
Quirinal Hill,Place,Quirinal Hill,
Raffaello Marchesi,Person,"Marchesi, Raffaelo",[Category Fix] 原文误标为 Man-Made Object。人物。
Raffaello Marchesi,Person,Raffaelo Marchesi,
Raphael,Person,Raffaello Sanzio da Urbino,拉斐尔。
Raphael,Person,Raphael,拉斐尔。
Rembrandt,Person,Rembrandt,伦勃朗。
Rembrandt,Person,Rembrandt Harmenszoon van Rijn,伦勃朗全名。
"Richard Boyle, 3rd Earl of Burlington",Person,"Burlington, Lord",[Disambiguation] 建筑赞助人 (Palladianism)。
"Richard Boyle, 3rd Earl of Burlington",Person,"Richard Boyle, 3rd Earl of Burlington",帕拉迪奥主义建筑的重要推动者。
"Robert Benson, 1st Baron Bingley",Person,"Bingley, Lord",[Disambiguation] 英国贵族 (Yorkshire)。
"Robert Benson, 1st Baron Bingley",Person,"Robert Benson, 1st Baron Bingley",
"Robert Harley, 1st Earl of Oxford",Person,"Oxford, Robert Harley, Earl of",
"Robert Harley, 1st Earl of Oxford",Person,Robert Harley,
Roberto d'Oderisio,Person,"Oderisi, Roberto",那不勒斯画家。
Roberto d'Oderisio,Person,Roberto d'Oderisio,14世纪那不勒斯画家。
Romulus and Remus,Person,Romulm and Remus,"[OCR Fix] ""Romulm"" -> ""Romulus""。"
Romulus and Remus,Work,Romulus and Remus,[Category Fix] 鲁本斯、Carracci 等人的画作主题。
Saint Andrew,Person,Andrew the Apostle,[Disambiguation] 圣安德烈。
Saint Andrew,Person,Saint Andrew,圣安德烈（人物）。
Saint Francis Xavier,Person,Francis Xavier,[Disambiguation] 圣方济各·沙勿略。
Saint Francis Xavier,Person,"Xavier, St Francis",圣方济各·沙勿略。
Saint Ignatius of Loyola,Person,Ignatius of Loyola,[Validation] 耶稣会创始人。
Saint Ignatius of Loyola,Person,"Ignatius, St",[Validation] 同上。
Saint John the Baptist,Person,John the Baptist,[Validation] 圣徒。
Saint John the Baptist,Person,St. John the Baptist,[Category Fix] 原文误标为 Man-Made Object。施洗约翰。
Saint Lawrence,Person,St Lawrence,[Category Fix] 原文误标为 Place。圣劳伦斯。
Saint Lawrence,Person,St.Lawrenc,"[OCR Fix] ""St.Lawrenc"" -> ""St. Lawrence""。"
Saint Philip Neri,Person,"Philip Neri, St",圣菲利波·内里。
Saint Philip Neri,Person,Saint Philip Neri,圣菲利波·内里。
Saint Stanislaus Kostka,Person,St Stanislas Kostka,[Category Fix] 原文误标为 Man-Made Object。
Saint Stanislaus Kostka,Person,Stanislaus Kostka,圣斯坦尼斯劳斯·科斯特卡。
Samuel von Pufendorf,Person,"Pufendorf, Samuel",法学家/历史学家。
Samuel von Pufendorf,Person,Samuel von Pufendorf,德国法学家。
San Canciano,Place,S. Canciano,威尼斯教堂。
San Canciano,Place,San Canciano,威尼斯教堂。
San Carlo alle Quattro Fontane,Place,Quattro Fontane,罗马教堂（波罗米尼）或喷泉群。
San Carlo alle Quattro Fontane,Place,Saint Charles at the Four Fountains,罗马教堂。
San Giorgio Maggiore,Place,Church of San Giorgio Maggiore,[Validation] 威尼斯教堂。
San Giorgio Maggiore,Place,S. Giorgio Maggiore,威尼斯教堂（帕拉迪奥）。
San Giorgio Maggiore,Place,San Giorgio Monastery,威尼斯修道院。
San Giovanni Decollato,Place,S.Giovanni Decollato,罗马或威尼斯教堂。
San Giovanni Decollato,Place,San Giovanni Decollato,罗马教堂。
San Zaccaria,Place,San Zaccaria,威尼斯教堂。
San Zaccaria,Place,"San Zaccaria, Venice",[Duplicate] 同上。
Sant'Agnese in Agone,Place,S. Agnese,罗马教堂（Piazza Navona）。
Sant'Agnese in Agone,Place,Sant'Agnese in Agone,罗马教堂。
Sant'Andrea al Quirinale,Place,Church of Sant'Andrea al Quirinale,[Category Fix] 原文误标为 Work。贝尼尼建筑。
Sant'Andrea al Quirinale,Place,S. Andrea,[Ambiguous] 可能是 Quirinale 或 Della Valle，视语境。
Sant'Andrea al Quirinale,Place,Sant'Andrea al Quirinale,罗马教堂（贝尼尼）。
Sant'Andrea al Quirinale,Place,St. Andrew's Temple Church,[Context] 可能是指 Quirinale 的 Jesuit Novitiate church。
Santa Maria della Concezione dei Cappuccini,Place,Capuchin church in Rome,[Disambiguation] 罗马嘉布遣会教堂。
Santa Maria della Concezione dei Cappuccini,Place,S.Maria della Concezione,罗马嘉布遣会教堂。
Santa Maria della Concezione dei Cappuccini,Place,Santa Maria della Concezione...,罗马骨骸寺。
Santa Maria della Salute,Place,Santa Maria della Salute,威尼斯安康圣母堂。
Santa Maria della Salute,Place,chiesa della Salute,威尼斯安康圣母堂。
Santa Maria della Vittoria,Place,S.Maria della Vittoria,罗马教堂（贝尼尼《圣特蕾莎》所在地）。
Santa Maria della Vittoria,Place,Santa Maria della Vittoria,罗马教堂。
Santa Maria di Nazareth (Scalzi),Place,Santa Maria degli Scalzi,威尼斯赤足教堂。
Santa Maria di Nazareth (Scalzi),Place,Santa Maria di Nazareth Basilica,威尼斯赤足教堂。
Santa Maria di Nazareth (Scalzi),Place,Scalzi,[Category Fix] 威尼斯赤足教堂（通常简称 Scalzi）。
Santissima Annunziata,Place,Annunziata,[Disambiguation] 指代教堂或广场。
Santissima Annunziata,Place,Santissima Annunziata,佛罗伦萨著名教堂。
"Sarah Churchill, Duchess of Marlborough",Person,"Marlborough, Duchess of",著名的马尔伯勒公爵夫人。
"Sarah Churchill, Duchess of Marlborough",Person,Sarah Churchill,马尔伯勒公爵夫人。
Sassoferrato,Place,Sassoferrato,马尔凯大区城镇。
Sassoferrato,Person,Sassoferrato (Giovan Battista Salvi),(Giovanni Battista Salvi da Sassoferrato) 画家。
Scipione Borghese,Person,Cardinal Scipione Borghese,[Category Fix] 原文误标为 Work。
Scipione Borghese,Person,Scipione Borghese,红衣主教希皮奥内·博尔盖塞（贝尼尼的赞助人）。
Scuola Grande dei Carmini,Place,Scuola Grande dei Carmini,威尼斯卡尔米尼大会堂。
Scuola Grande dei Carmini,Place,Scuola del Carmine,[Duplicate] 同上。
Scuola Grande di San Rocco,Organization,"San Rocco, Scuola di",威尼斯圣罗格大会堂。
Scuola Grande di San Rocco,Place,Scuola Grande di San Rocco,威尼斯圣罗格大会堂（丁托列托）。
Scuola Grande di San Rocco,Place,Scuola di San Rocco,[Duplicate] 同上。
Sebastiano Bombelli,Person,Bombelli Sebastiano,[Reconstruction] 威尼斯肖像画家。
Sebastiano Bombelli,Person,Sebastiano Bombelli,威尼斯肖像画家。
Sebastiano Marcotti,Person,Sebastiano Marcotti,17世纪版画家（活跃于那不勒斯）。
Sebastiano Marcotti,Person,Sebastiano Marcotti,[Duplicate]
Sebastiano Resta,Person,"Resta, Padre Sebastiano",著名的绘画收藏家/鉴赏家。
Sebastiano Resta,Person,Sebastiano Resta,著名的素描收藏家（Padre Resta）。
Secondo Lancellotti,Person,"Lancellotti, Abate",[Reconstruction] 作家 (L'Hoggidì)。
Secondo Lancellotti,Person,Secondo Lancellotti,17世纪作家（《L'Hoggidì》）。
"Sir Thomas Isham, 3rd Baronet",Person,"Sir Thomas Isham (1656每1681), 3rd Bt Isham","[OCR Fix] ""每"" -> ""–""。[Category Fix] 原文误标为 Man-Made Object。"
"Sir Thomas Isham, 3rd Baronet",Person,Thomas Isham,17世纪日记作者/旅行者。
Sixtus V,Person,"Peretti, Felice (Pope Sixtus V)",教皇西克斯图斯五世。
Sixtus V,Person,Sixtus V,教皇西克斯图斯五世。
St. Peter's Basilica,Place,St. Peter's Basilica,梵蒂冈圣彼得大教堂。
St. Peter's Basilica,Place,Vatican Papal Basilica,圣彼得大教堂。
Stamperia Albrizzi,Organization,Nella Stamperia Albrizziana,[Category Fix] 威尼斯著名出版商 Albrizzi。
Stamperia Albrizzi,Organization,Stamperia Albrizziana,[Category Fix] 威尼斯印刷厂。
Stanisław August Poniatowski,Person,Stanis?aw August Poniatowski,"[OCR Fix] ""?"" -> ""ł""。波兰国王。"
Stanisław August Poniatowski,Person,"Stanislas Poniatowski, King of Poland",[Duplicate] 同上。
Statue of Field Marshal Schulenburg,Work,Statue of Field Marshal Schulenburg,[Category Fix] 科拉迪尼的作品（科孚岛）。
Statue of Field Marshal Schulenburg,Work,"Statue of Schulenburg, Kerkyra",[Duplicate] 同 3582。
Stendhal,Person,Marie-Henri Beyle,作家司汤达的原名，以写意大利游记和艺术评论著称。
Stendhal,Person,Stendhal,司汤达。
Taddeo Barberini,Person,"Barberini, Taddeo (nephew to Urban VIII)",[Reconstruction] 帕莱斯特里纳亲王。
Taddeo Barberini,Person,Taddeo Barberini,帕莱斯特里纳亲王（教皇乌尔班八世的侄子）。
Teofilo Gallaccini,Person,"Gallacini, Teofilo","[OCR Fix] ""Gallacini"" -> ""Gallaccini"" (锡耶纳学者/建筑理论家)。"
Teofilo Gallaccini,Person,Teofilo Gallaccini,锡耶纳学者/建筑理论家。
The Abduction of Helen,Work,Rape of Helen,[Category Fix] 常见神话主题。
The Abduction of Helen,Work,The Abduction of Helen,[Category Fix] 圭多·雷尼等人的画作。
The Banquet of Cleopatra,Work,The Banquet of Antony and Cleopatra,[Category Fix] 提埃坡罗的著名画作。
The Banquet of Cleopatra,Work,The Banquet of Cleopatra,[Category Fix]
The Baptism of Christ,Work,The Baptism,[Category Fix]
The Baptism of Christ,Work,The Baptism of Christ,[Category Fix] 耶稣受洗图。
The Deposition from the Cross,Work,The Deposition from the Cross,[Category Fix]
The Deposition from the Cross,Work,The Deposition from the Cross/Deposition,[Category Fix]
The Judgment of Paris,Work,The Judgement of Paris,[Category Fix] 帕里斯的裁判。
The Judgment of Paris,Work,The Judgment of Paris,[Category Fix] 同上。
The Nativity,Work,Nativity,[Category Fix] 耶稣诞生图。
The Nativity,Work,The Nativity,[Category Fix] 耶稣降生。
The Rape of the Sabine Women,Work,Rape of the Sabine Women,[Category Fix] 普桑、詹博洛尼亚作品。
The Rape of the Sabine Women,Work,Rape of the Sabines,[Category Fix]
The Rape of the Sabine Women,Work,The Rape of the Sabine Women,[Category Fix] 萨宾妇女的劫夺。
The Sacrifice of Iphigenia,Work,Sacrifice of Iphigenia,[Category Fix] 提埃坡罗等人的画作。
The Sacrifice of Iphigenia,Work,The Sacrifice of Iphigenia,[Category Fix] 伊菲革涅亚的献祭。
The Sacrifice of Isaac,Work,Sacrifice of Abraham,[Category Fix] 常见的艺术主题。
The Sacrifice of Isaac,Work,The Sacrifice of Isaac,[Category Fix] 以撒的献祭。
The Triumph of Venice,Work,The Triumph of Venice,[Category Fix] 提埃坡罗或 Veronese 的画作。
The Triumph of Venice,Work,Triumph of Venice,[Category Fix] 提埃坡罗 (Palazzo Pisani) 或 Pompeo Batoni 的画作。
The Triumph of the Name of Jesus,Work,The Triumph of the Name of Jesus,[Category Fix] Il Gesù 教堂的天顶画（Baciccio）。
The Triumph of the Name of Jesus,Work,Triumph of the Name of Jesus,[Category Fix] 罗马耶稣会教堂天顶画。
"Thomas Coke, 1st Earl of Leicester",Person,"Coke, Mr","[Context] ""Mr Coke"" 常指 Thomas Coke (Holkham Hall 建造者/收藏家)。"
"Thomas Coke, 1st Earl of Leicester",Person,"Thomas Coke, 1st Earl of Leicester",霍尔克姆大厅的主人。
"Thomas Pelham-Holles, 1st Duke of Newcastle",Person,"Newcastle, Thomas Pelham-Holles, Duke of",[Category Fix] 原文误标为 Man-Made Object。
"Thomas Pelham-Holles, 1st Duke of Newcastle",Person,"Thomas Pelham-Holles, 1st Duke of Newcastle-upon-Tyne",
Toussaint Dubreuil,Person,"Breuil, Toussaint du",[Reconstruction] 法国枫丹白露画派画家。
Toussaint Dubreuil,Person,Toussaint Dubreuil,法国枫丹白露画派画家。
Urban VIII,Person,"Barberini, Maffeo (Pope Urban VIII)",[Disambiguation] 教皇乌尔班八世。
Urban VIII,Person,Urban VIII,教皇乌尔班八世。
Victor Amadeus II of Sardinia,Person,"Savoy, Vittorio Amedeo II, Duke of",萨伏伊公爵/撒丁国王。
Victor Amadeus II of Sardinia,Person,Victor Amadeus II of Savoy,萨伏伊公爵，撒丁国王。
Villa Contarini,Place,Contarini villa,[Category Fix] 原文误标为 Work。
Villa Contarini,Place,Villa Contarini,威尼托别墅（Piazzola sul Brenta）。
Villa Valmarana ai Nani,Place,Villa Valmarana,维琴察别墅（提埃坡罗壁画）。
Villa Valmarana ai Nani,Place,Villa Valmarana ai Nani,[Duplicate] 同上。
Villa di Pratolino,Place,Pratolino,美第奇别墅。
Villa di Pratolino,Place,Villa di Pratolino,美第奇别墅（Demidoff）。
Vincenzo Giustiniani,Person,"Giustiniani, Marchese Vincenzo",[Category Fix] 原文误标为 Man-Made Object。著名收藏家/侯爵。
Vincenzo Giustiniani,Person,Vincenzo Giustiniani,著名的银行家与艺术收藏家（Caravaggio赞助人）。
Virgil,Person,Publius Vergilius Maro,维吉尔。
Virgil,Person,Virgil,诗人维吉尔。
