Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes,Analysis_Tag,Similarity_Score,Issue_Flag
Manin country house,Villa Manin (Passariano),Place,[Validation] 别墅。,Validation,0.33,Low_Similarity; 
Manin family,Manin (Family),Group,[Validation] 威尼斯家族。,Validation,0.92,
Manin palace,Palazzo Manin,Place,[Category Fix] 原文误标为 Work。,Category Fix,0.4,Low_Similarity; 
"Manin, Doge Lodovico",Ludovico Manin,Person,[Disambiguation] 威尼斯末代总督。,Disambiguation,0.41,
Manlio Dazzi,Manlio Dazzi,Person,[Validation] 诗人/图书馆员 (Venice)。,Validation,1.0,
Mannerist painting,Mannerism,Concept,[Validation] 风格主义。,Validation,0.59,Low_Similarity; 
"Mansart, François",François Mansart,Person,[Validation] 法国建筑师。,Validation,0.48,Low_Similarity; 
"Mantua, Ferdinando Carlo, Duke of","Ferdinando Carlo Gonzaga, Duke of Mantua",Person,[Validation] 曼图亚公爵。,Validation,0.68,
"Mantua, Ferdinando, Duke of","Ferdinando Gonzaga, Duke of Mantua",Person,[Validation] 曼图亚公爵。,Validation,0.62,
"Mantua, Marquis of",Marquis of Mantua,Person,[Validation] 贡扎加家族头衔。,Validation,0.57,Low_Similarity; 
Manuel de Acevedo y Zú?iga,Manuel de Acevedo y Zúñiga (Count of Monterrey),Person,"[OCR Fix] ""?"" -> ""ñ""。那不勒斯总督。",OCR Fix,0.68,
"Maratta, Carlo",Carlo Maratta,Person,[Validation] 罗马画家。,Validation,0.52,Low_Similarity; 
Marc'Antonio Chiarini,Marcantonio Chiarini,Person,[Validation] 博洛尼亚画家 (Quadraturista)。,Validation,0.98,
Marcantonio Barbaro,Marcantonio Barbaro,Person,[Validation] 威尼斯贵族/Palladio赞助人。,Validation,1.0,
Marcantonio Franceschini,Marcantonio Franceschini,Person,[Category Fix] 原文误标为 Place。博洛尼亚画家。,Category Fix,1.0,
Marcantonio II Colonna,Marcantonio II Colonna,Person,[Validation] 帕利亚诺亲王/勒班陀战役英雄。,Validation,1.0,
Marcel Roethlisberger,Marcel Roethlisberger,Person,[Validation] 艺术史学家 (Claude Lorrain专家)。,Validation,1.0,
Marcello Del Piazzo,Marcello Del Piazzo,Person,[Validation] 档案学家。,Validation,1.0,
Marcello Malpighi,Marcello Malpighi,Person,[Validation] 医生/生物学家。,Validation,1.0,
Marcello Oretti,Marcello Oretti,Person,[Validation] 博洛尼亚艺术传记作家。,Validation,1.0,
Marcello Sacchetti,Marcello Sacchetti,Person,[Validation] 罗马银行家/赞助人 (Pietro da Cortona)。,Validation,1.0,
"March, Lord","Charles Gordon-Lennox, 3rd Duke of Richmond",Person,"[Disambiguation] 18th c. ""Lord March"" (Earl of March) 通常指查尔斯·戈登-伦诺克斯，著名的艺术赞助人和大游学者。",Disambiguation,0.22,
Marchands-amateurs,Marchands-amateurs,Concept,[Category Fix] 原文误标为 Man-Made Object。指“业余艺术商”这一特定历史群体/概念。,Category Fix,1.0,
Marche,Marche,Place,意大利马尔凯大区。,Unstructured,1.0,
Marches,Marche,Place,"""Marche"" 的英语复数形式，标准化为 Marche。",Unstructured,0.92,
Marchese Girolamo Durazzo,Girolamo Durazzo,Person,热那亚贵族、总督及艺术收藏家。,Unstructured,0.78,
Marchese Niccolo Maria Pallavicini,Niccolò Maria Pallavicini,Person,罗马重要的艺术赞助人（Maratti 的赞助者）。,Unstructured,0.81,
Marchese Raggi,Marchese Raggi,Person,可能是 Lorenzo Raggi 或该家族成员（如 Bernini 的赞助人），保留头衔。,Unstructured,1.0,
"Marchesi, Raffaelo",Raffaello Marchesi,Person,[Category Fix] 原文误标为 Man-Made Object。人物。,Category Fix,0.44,Low_Similarity; 
"Marchesini, Alessandro",Alessandro Marchesini,Person,[Category Fix] 原文误标为 Man-Made Object。维罗纳画家。,Category Fix,0.47,Low_Similarity; 
Marchigian town,Marchigian town,Place,泛指马尔凯大区的城镇。,Unstructured,1.0,
"Marchiori, Giovanni",Giovanni Marchiori,Person,[Category Fix] 原文误标为 Man-Made Object。威尼斯雕塑家。,Category Fix,0.49,Low_Similarity; 
Marciana,Biblioteca Nazionale Marciana,Place,威尼斯马尔恰纳图书馆。,Unstructured,0.43,Low_Similarity; 
Marco Benefial,Marco Benefial,Person,罗马画家。,Unstructured,1.0,
Marco Boschini,Marco Boschini,Person,威尼斯画家及艺术理论家（《Carta del Navegar Pitoresco》作者）。,Unstructured,1.0,
Marco Fantuzzi,Marco Fantuzzi,Person,,Missing_Note,1.0,
Marco Foscarini,Marco Foscarini,Person,威尼斯总督（Doge）。,Unstructured,1.0,
Marco Foscarini's palace,Palazzo Foscarini (Venice),Place,位于威尼斯 Carmini 的宫殿。,Unstructured,0.6,
Marco Ricci,Marco Ricci,Person,威尼斯风景画家。,Unstructured,1.0,
Marco Sacconi,Marco Sacconi,Person,,Missing_Note,1.0,
Marco Sebastiano Giampiccoli,Marco Sebastiano Giampiccoli,Person,威尼斯版画家。,Unstructured,1.0,
Marcus Atilius Regulus,Marcus Atilius Regulus,Person,罗马执政官，历史画常见主题。,Unstructured,1.0,
Marcus Curtius,Marcus Curtius,Person,罗马神话英雄，历史画常见主题。,Unstructured,1.0,
Marcus Furius Camillus,Marcus Furius Camillus,Person,罗马独裁官，历史画常见主题。,Unstructured,1.0,
Marcus Junianus Justinus,Justin (historian),Person,罗马历史学家查士丁。,Unstructured,0.33,Low_Similarity; 
Marcus Junius Brutus,Marcus Junius Brutus,Person,刺杀凯撒的布鲁图斯。,Unstructured,1.0,
Marcus Porcius Cato,Cato the Elder,Person,老加图。,Unstructured,0.24,Low_Similarity; 
Marcus Porcius Cato Uticensis,Cato the Younger,Person,小加图。,Unstructured,0.31,Low_Similarity; 
Marcus Vitruvius Pollio,Vitruvius,Person,建筑师维特鲁威。,Unstructured,0.56,Low_Similarity; 
Maresca di Serracapmula,"Antonino Maresca, Duca di Serracapriola",Person,"[OCR Fix] ""Serracapmula"" -> ""Serracapriola""。那不勒斯外交官。",OCR Fix,0.68,
Margaret Whinney,Margaret Whinney,Person,现代著名的英国艺术史学家。,Unstructured,1.0,
Marguerite Louise d'Orl谷ans,Marguerite Louise d'Orléans,Person,"[OCR Fix] 乱码修复 ""Orl谷ans"" -> ""Orléans""。托斯卡纳大公夫人。",OCR Fix,0.96,
"Mari, Cosimo",Cosimo Mari,Person,17世纪建筑师/工程师。,Unstructured,0.52,Low_Similarity; 
Maria Caterina,Maria Caterina,Person,"[Ambiguous] 极泛指。结合上下文可能是 Rosalba Carriera 画作中的 ""Sister Maria Caterina"" 或 Maria Caterina Brignole。",Ambiguous,1.0,
Maria Elena Ghelli,Maria Elena Ghelli,Person,,Missing_Note,1.0,
Maria Labia,Maria Labia,Person,威尼斯 Labia 家族成员，Tiepolo 曾为该家族宫殿作画。,Unstructured,1.0,
Maria Letizia Strocchi,Maria Letizia Strocchi,Person,现代艺术史学者。,Unstructured,1.0,
Maria Luisa,Maria Luisa,Person,常见王室名（如西班牙的玛丽亚·路易莎），需结合特定条目消歧。,Unstructured,1.0,
Maria Mancini,Maria Mancini,Person,马萨林枢机的侄女，路易十四的情人。,Unstructured,1.0,
Maria Pamfili,Maria Pamphilj,Person,[Spelling Fix] 标准化拼写为 Pamphilj (Olimpia Maidalchini 的女儿等)。,Spelling Fix,0.81,
Maria Sellschopp,Maria Sellschopp,Person,可能是现代学者或具体的收藏/捐赠者。,Unstructured,1.0,
Maria Sergeevna Konopleva,Maria Sergeevna Konopleva,Person,苏联艺术史学家/策展人。,Unstructured,1.0,
Maria Teresa Bonadonna Russo,Maria Teresa Bonadonna Russo,Person,现代学者（罗马历史研究）。,Unstructured,1.0,
"Maria Teresa, Holy Roman Empress",Maria Theresa,Person,玛丽亚·特蕾莎女王。,Unstructured,0.53,Low_Similarity; 
Maria Vittoria Brugnoli,Maria Vittoria Brugnoli,Person,现代艺术史学家。,Unstructured,1.0,
Maria Walpole,Maria Walpole,Person,格洛斯特公爵夫人，沃尔波尔家族成员。,Unstructured,1.0,
Marianne Roland Michel,Marianne Roland Michel,Person,著名的法国艺术史学家（专攻18世纪）。,Unstructured,1.0,
Mariano Armellini,Mariano Armellini,Person,历史学家/考古学家（罗马基督教考古）。,Unstructured,1.0,
Marie Th谷r豕se Rodet Geoffrin,Marie Thérèse Rodet Geoffrin,Person,[OCR Fix] 乱码修复。若弗兰夫人，著名的沙龙女主人。,OCR Fix,0.93,
Marie de' Medici,Marie de' Medici,Person,法国玛丽·德·美第奇王后。,Unstructured,1.0,
Marie-Henri Beyle,Stendhal,Person,作家司汤达的原名，以写意大利游记和艺术评论著称。,Unstructured,0.24,Low_Similarity; 
"Marigny, Marquis de","Abel-François Poisson, marquis de Marigny",Person,蓬帕杜夫人的弟弟，法国皇家建筑总监。,Unstructured,0.53,Low_Similarity; 
Marilyn Aronberg Lavin,Marilyn Aronberg Lavin,Person,现代著名的艺术史学家（Piero della Francesca 研究者）。,Unstructured,1.0,
Marino Berengo,Marino Berengo,Person,现代意大利历史学家。,Unstructured,1.0,
Mario Brunetti,Mario Brunetti,Person,历史学家（威尼斯研究）。,Unstructured,1.0,
Mario Chigi,Mario Chigi,Person,基吉家族成员（如教皇亚历山大七世的兄弟）。,Unstructured,1.0,
Mario D'Orsi,Mario D'Orsi,Person,现代艺术评论家/学者。,Unstructured,1.0,
Mario Minniti,Mario Minniti,Person,卡拉瓦乔的朋友和模特，西西里画家。,Unstructured,1.0,
Mario Nuzzi,Mario Nuzzi,Person,"别名 ""Mario dei Fiori""，以画花卉著称。",Unstructured,1.0,
Mark Antony,Mark Antony,Person,罗马统帅马克·安东尼。,Unstructured,1.0,
Mark Ritchie,Mark Ritchie,Person,现代学者/作者（出现在参考书目中）。,Unstructured,1.0,
Mark Samuel Weil,Mark Samuel Weil,Person,现代艺术史学家（巴洛克雕塑研究）。,Unstructured,1.0,
"Marlborough, Duchess of","Sarah Churchill, Duchess of Marlborough",Person,著名的马尔伯勒公爵夫人。,Unstructured,0.48,Low_Similarity; 
Marriage,Marriage,Concept,[Category Fix] 原文误标为 Man-Made Object。,Category Fix,1.0,
Marriage Allegory of the Rezzonico Family,Marriage Allegory of the Rezzonico Family,Work,[Category Fix] 提埃坡罗在 Ca' Rezzonico 的天顶画。,Category Fix,1.0,
Mars and Venus,Mars and Venus,Work,[Category Fix] 神话主题或特定画作。,Category Fix,1.0,
Marshal Schulenburg,Johann Matthias von der Schulenburg,Person,[Category Fix] 威尼斯共和国元帅，重要的艺术收藏家。,Category Fix,0.56,Low_Similarity; 
Martino Longhi,Martino Longhi the Elder,Person,建筑师老马蒂诺·朗吉。,Unstructured,0.74,
Martino Longhi the Younger,Martino Longhi the Younger,Person,建筑师小马蒂诺·朗吉。,Unstructured,1.0,
Martirii patiti da Santi Martiri per La confessione di Christo,Martirii patiti dai Santi Martiri per la confessione di Cristo,Work,[Typo Fix] 书籍/版画集标题，安东尼奥·坦佩斯塔（Tempesta）等人的作品。,Typo Fix,0.98,
Martyrdom of St Peter,The Martyrdom of Saint Peter,Work,[Category Fix] 圣彼得殉教图（如卡拉瓦乔或雷尼作品）。,Category Fix,0.86,
Martyrdom of St. Cecilia,The Martyrdom of Saint Cecilia,Work,[Category Fix] 圣塞西莉亚殉教图（如 Domenichino 作品）。,Category Fix,0.85,
Marucelli Palace,Palazzo Marucelli,Place,[Category Fix] 佛罗伦萨的马鲁切利-芬奇宫（Palazzo Marucelli-Fenzi）。,Category Fix,0.55,Low_Similarity; 
"Marucelli, Orazio",Orazio Marucelli,Person,佛罗伦萨参议员/贵族。,Unstructured,0.55,Low_Similarity; 
Mary Stuart,"Mary, Queen of Scots",Person,玛丽一世 (苏格兰)。,Unstructured,0.45,Low_Similarity; 
Mary Wortley Montagu,Lady Mary Wortley Montagu,Person,英国贵族、作家，曾游历东方。,Unstructured,0.89,
Mar赤a Antonieta Gatas,María Antonieta Gatas,Person,"[OCR Fix] ""Mar赤a"" -> ""María""。Gatas 可能是 Gallas 或类似拼写，保留原词待查，或是现代学者名。",OCR Fix,0.95,
Masanella,Masaniello,Person,"[OCR/Typo Fix] 极可能是 ""Masaniello""（那不勒斯渔民起义领袖）的误拼。",OCR/Typo Fix,0.84,
Masaniello,Masaniello,Person,托马索·阿涅洛（Tommaso Aniello），那不勒斯起义领袖。,Unstructured,1.0,
Massacre of the Innocents,Massacre of the Innocents,Work,[Category Fix] 诸圣婴孩殉道图。,Category Fix,1.0,
"Massimi, Camillo (the Elder)",Camillo Massimi,Person,可能是指早期的马西米家族成员。,Unstructured,0.37,Low_Similarity; 
"Massimi, Cardinal Camillo (Carlo)",Carlo Camillo II Massimi,Person,著名的红衣主教与艺术赞助人（普桑、洛兰赞助者）。,Unstructured,0.49,Low_Similarity; 
Massimiliano Soldani Benzi,Massimiliano Soldani Benzi,Person,佛罗伦萨雕塑家和章牌制作者。,Unstructured,1.0,
Massimo Petrocchi,Massimo Petrocchi,Person,现代学者。,Unstructured,1.0,
Massimo Stanzione,Massimo Stanzione,Person,那不勒斯画家，被称为“那不勒斯的圭多·雷尼”。,Unstructured,1.0,
Mastelletta,Giovanni Andrea Donducci,Person,别名 Mastelletta，博洛尼亚画家。,Unstructured,0.17,Low_Similarity; 
Master of Monte Oliveto,Master of Monte Oliveto,Person,14世纪锡耶纳画派的匿名大师。,Unstructured,1.0,
Matilda of Tuscany,Matilda of Tuscany,Person,托斯卡纳女伯爵（大女伯爵马蒂尔达）。,Unstructured,1.0,
"Matina, L.",Leone Matina,Person,[Reconstruction] 17世纪威尼斯（Olivetan）修士、作家/版画相关人物。,Reconstruction,0.55,Low_Similarity; 
Matteo Bartolini,Matteo Bartolini,Person,17世纪建筑师。,Unstructured,1.0,
Matteo Castelli,Matteo Castelli,Person,活跃于波兰的意大利建筑师。,Unstructured,1.0,
Matteo del Teglia,Matteo del Teglia,Person,托斯卡纳外交官/代理人。,Unstructured,1.0,
Matth?us Daniel P?ppelmann,Matthäus Daniel Pöppelmann,Person,[OCR Fix] 乱码修复。德累斯顿茨温格宫的建筑师。,OCR Fix,0.92,
Mattia Loret,Mattia Loret,Person,(1880–1949) 波兰艺术史学家，曾任职于罗马。,Unstructured,1.0,
Mattia Preti,Mattia Preti,Person,卡拉布里亚骑士，著名的巴洛克画家。,Unstructured,1.0,
Mattia Rosichino,Mattia Rosichino,Person,[Disambiguation] 17世纪巴贝里尼宫画廊的管理者（guardaroba）和导览手册作者。,Disambiguation,1.0,
Mattia de Rossi,Mattia de' Rossi,Person,建筑师，贝尼尼的学生和助手。,Unstructured,0.97,
"Maupertuis, Pierre-Louis",Pierre Louis Maupertuis,Person,法国数学家和哲学家。,Unstructured,0.43,Low_Similarity; 
Maurice Vaes,Maurice Vaes,Person,现代艺术史学家（研究荷兰画家）。,Unstructured,1.0,
Maurizio Fagiolo dell'Arco,Maurizio Fagiolo dell'Arco,Person,著名的现代意大利艺术史学家（巴洛克权威）。,Unstructured,1.0,
Mauro Antonio Tesi,Mauro Antonio Tesi,Person,18世纪博洛尼亚画家和建筑师。,Unstructured,1.0,
"Max Emmanuel, Elector of Bavaria","Maximilian II Emanuel, Elector of Bavaria",Person,巴伐利亚选帝侯。,Unstructured,0.85,
Max Goering,Max Goering,Person,德国艺术史学家。,Unstructured,1.0,
Max Harold Fisch,Max Harold Fisch,Person,哲学家/学者（维柯研究者）。,Unstructured,1.0,
Max Hermann von Freeden,Max Hermann von Freeden,Person,德国艺术史学家（巴洛克研究）。,Unstructured,1.0,
Max Steinbart,Max Steinbart,Person,柏林银行家与艺术收藏家。,Unstructured,1.0,
"Maximilian III Joseph, Elector of Bavaria","Maximilian III Joseph, Elector of Bavaria",Person,,Missing_Note,1.0,
"Maximilian, Prince, Elector of Bavaria","Maximilian II Emanuel, Elector of Bavaria",Person,[Merge Candidate] 指向 Max Emmanuel。,Merge Candidate,0.86,
Maximilien Misson,Maximilien Misson,Person,17世纪法国旅行作家（大游学向导）。,Unstructured,1.0,
Maximilien Robespierre,Maximilien Robespierre,Person,罗伯斯庇尔。,Unstructured,1.0,
Maxwell White,Maxwell White,Person,学者（意大利文学/历史）。,Unstructured,1.0,
"Mazarin, Cardinal",Jules Mazarin,Person,马萨林枢机。,Unstructured,0.47,Low_Similarity; 
"Mazenta, Ambrogio",Ambrogio Mazenta,Person,17世纪巴尔纳比特修士/建筑师。,Unstructured,0.48,Low_Similarity; 
"Mazza, Giuseppe",Giuseppe Mazza,Person,博洛尼亚雕塑家。,Unstructured,0.55,Low_Similarity; 
"Mazzarini, Giulio",Jules Mazarin,Person,马萨林枢机的意大利原名。,Unstructured,0.47,Low_Similarity; 
"Mazzoni, Nicola",Nicola Mazzoni,Person,[Check] 可能是 Sebastiano Mazzoni 的误写或小众人物，亦可能是现代人物。,Check,0.48,Low_Similarity; 
"Mead, Dr Richard",Richard Mead,Person,英国医生与著名收藏家（华托赞助人）。,Unstructured,0.5,Low_Similarity; 
Mecklenburg,Mecklenburg,Place,德国梅克伦堡地区。,Unstructured,1.0,
"Mecklenburg, Christian Louis, Duke of","Christian Louis I, Duke of Mecklenburg",Person,,Missing_Note,0.64,
"Medici, Anna Maria Ludovica de'...",Anna Maria Luisa de' Medici,Person,普法尔茨选帝侯夫人，美第奇家族最后一位直系成员。,Unstructured,0.62,
"Medici, Cosimo III de'",Cosimo III de' Medici,Person,托斯卡纳大公。,Unstructured,0.65,
"Medici, Ferdinando II de', Grand Duke...",Ferdinando II de' Medici,Person,托斯卡纳大公。,Unstructured,0.59,Low_Similarity; 
"Medici, Francesco Maria de'",Francesco Maria de' Medici,Person,[Category Fix] 原文误标为地点。红衣主教，科西莫三世的弟弟。,Category Fix,0.72,
"Medici, Grand Duke Gian Gastone de'",Gian Gastone de' Medici,Person,最后一任美第奇大公。,Unstructured,0.55,Low_Similarity; 
"Medici, Grand Prince Ferdinand de'","Ferdinando de' Medici, Grand Prince of Tuscany",Person,伟大的费迪南多亲王（Grand Prince），重要的艺术赞助人。,Unstructured,0.6,
"Medici, Isabella de' (Duchess of Bracciano)",Isabella de' Medici,Person,,Missing_Note,0.52,Low_Similarity; 
"Medici, Marie de",Marie de' Medici,Person,法国玛丽·德·美第奇王后。,Unstructured,0.5,Low_Similarity; 
Meeting of Esau and Jacob,The Meeting of Jacob and Esau,Work,[Category Fix] 圣经主题或画作。,Category Fix,0.67,
"Melanconici, Niccol辰",Niccolò Melanconici,Person,"[OCR Fix/Typo] ""辰""应为""ò""。姓氏可能是 Menghini (雕塑家) 或 Melchiorri 的误拼。",OCR Fix/Typo,0.56,Low_Similarity; 
Melchiorre Missirini,Melchiorre Missirini,Person,19世纪意大利传记作家（卡诺瓦传记作者）。,Unstructured,1.0,
Melle Calberg,Marguerite Calberg,Person,"[Full Name] ""Melle""即Mlle，比利时纺织/艺术史学者。",Full Name,0.71,
"Mellino, Cardinal",Giovanni Garzia Mellini,Person,[Disambiguation] 17世纪枢机主教 (Mellini/Millini)。,Disambiguation,0.35,
"Mengs, Anton Rafael",Anton Raphael Mengs,Person,德国新古典主义画家。,Unstructured,0.58,Low_Similarity; 
Mercury,Mercury,Person,[Myth] 墨丘利神（除非特指某雕像，视为神话人物）。,Myth,1.0,
Mercury awaking Aeneas,Mercury awaking Aeneas,Work,[Category Fix] 画作主题（如提埃坡罗作品）。,Category Fix,1.0,
Messina,Messina,Place,西西里墨西拿。,Unstructured,1.0,
Messrs T. and A. Constable Ltd.,T. & A. Constable,Organization,[Category Fix] 著名的爱丁堡印刷出版公司。,Category Fix,0.67,
Metropolitan Museum of Art,Metropolitan Museum of Art,Organization,[Category Fix] 纽约大都会艺术博物馆。,Category Fix,1.0,
Meyer Schapiro,Meyer Schapiro,Person,著名艺术史学家。,Unstructured,1.0,
Miani family,Miani family,Group,威尼斯贵族家族。,Unstructured,1.0,
Michael Baxandall,Michael Baxandall,Person,著名艺术史学家。,Unstructured,1.0,
Michael Conforti,Michael Conforti,Person,博物馆馆长/艺术史学者。,Unstructured,1.0,
Michael Jaff谷,Michael Jaffé,Person,"[OCR Fix] 乱码修复 ""Jaff谷"" -> ""Jaffé""。鲁本斯专家。",OCR Fix,0.92,
Michael Levey,Michael Levey,Person,英国艺术史学家，国家美术馆馆长。,Unstructured,1.0,
Michel Dorigny,Michel Dorigny,Person,法国画家和版画家（Simon Vouet 的女婿）。,Unstructured,1.0,
Michel Hoog,Michel Hoog,Person,法国博物馆策展人（橘园美术馆）。,Unstructured,1.0,
Michelangelo,Michelangelo,Person,米开朗基罗。,Unstructured,1.0,
Michelangelo Cerquozzi,Michelangelo Cerquozzi,Person,罗马班波恰画派（Bamboccianti）画家。,Unstructured,1.0,
Michelangelo Gualandi,Michelangelo Gualandi,Person,19世纪艺术史料编纂者。,Unstructured,1.0,
Michelangelo Merisi da Caravaggio,Caravaggio,Person,卡拉瓦乔。,Unstructured,0.47,Low_Similarity; 
Michelangelo Muraro,Michelangelo Muraro,Person,威尼斯艺术史学家。,Unstructured,1.0,
Michelangelo di Lodovico Buonarroti Simoni,Michelangelo,Person,[Merge Candidate] 米开朗基罗全名。,Merge Candidate,0.44,Low_Similarity; 
Michele Barbi,Michele Barbi,Person,意大利但丁学者。,Unstructured,1.0,
Michele Battaglia,Michele Battaglia,Person,威尼斯历史学者/作家。,Unstructured,1.0,
Michele Giustiniani,Michele Giustiniani,Person,17世纪作家。,Unstructured,1.0,
Michele Lauretano,Michele Lauretano,Person,17世纪耶稣会士（Collegio Romano 院长）。,Unstructured,1.0,
Michele Marieschi,Michele Marieschi,Person,威尼斯风景画家。,Unstructured,1.0,
Michele Peretti,Michele Peretti,Person,可能是 Peretti 家族成员（Montalto 枢机）。,Unstructured,1.0,
Michiel Sweerts,Michiel Sweerts,Person,佛兰芒巴洛克画家。,Unstructured,1.0,
Midas Washing at the Source of the Pactolus,Midas Washing at the Source of the Pactolus,Work,[Category Fix] 普桑或其他人的画作。,Category Fix,1.0,
"Mieris, Frans van",Frans van Mieris the Elder,Person,荷兰黄金时代画家。,Unstructured,0.42,Low_Similarity; 
Miguel de Cervantes,Miguel de Cervantes,Person,塞万提斯。,Unstructured,1.0,
Miguel de Molinos,Miguel de Molinos,Person,寂静主义神学家。,Unstructured,1.0,
Miles de Noyers,Miles de Noyers,Person,[Verification] 法国历史人物，需确认是否为画中人物。,Verification,1.0,
"Miller, Dwight",Dwight C. Miller,Person,现代艺术史学家（博洛尼亚画派专家）。,Unstructured,0.4,Low_Similarity; 
"Millet, Jean-Fran?ois",Jean-François Millet,Person,"[OCR Fix] 乱码修复 ""?ois"" -> ""çois""。",OCR Fix,0.59,Low_Similarity; 
Mina Pajes Merriman,Mina Pajes Merriman,Person,艺术史学家（Giuseppe Maria Crespi 专家）。,Unstructured,1.0,
Minerva,Minerva,Person,[Myth] 密涅瓦（雅典娜）。,Myth,1.0,
"Mingardi, Francesco",Francesco Mengardi,Person,[OCR Fix/Typo] 原文标为地点且拼写疑似有误，应为画家 Francesco Mengardi。,OCR Fix/Typo,0.49,Low_Similarity; 
"Minitti, Mario",Mario Minniti,Person,"[OCR Fix] ""Minitti"" -> ""Minniti""。卡拉瓦乔的朋友/模特。",OCR Fix,0.37,Low_Similarity; 
Minneapolis Institute of Art,Minneapolis Institute of Art,Organization,[Category Fix] 博物馆。,Category Fix,1.0,
Minori Osservanti,Order of Friars Minor (Observants),Organization,[Category Fix] 原文误标为 Person。方济各会（奥斯定会）分支。,Category Fix,0.55,Low_Similarity; 
Mira,Mira,Place,威尼斯附近城镇。,Unstructured,1.0,
Mississippi Gallery,Mississippi Gallery,Organization,[Context] 需结合具体语境，可能是现代博物馆（Mississippi Museum of Art）或误读。,Context,1.0,
Mississippi River,Mississippi River,Place,密西西比河（可能出现在寓意画或地图中）。,Unstructured,1.0,
"Mocenigo, Doge Alvise",Alvise Mocenigo,Person,威尼斯总督（具体哪一世需上下文，通常指 Alvise IV 1763-1778）。,Unstructured,0.44,Low_Similarity; 
Modelli,Modello,Concept,[Category Fix] 原文误标为 Conceptual Object。指“模范/草稿”。,Category Fix,0.86,
Modello for fresco on vault of S. Ignazio,Modello for the Apotheosis of St Ignatius,Work,[Category Fix] 波佐（Andrea Pozzo）的草稿。,Category Fix,0.61,
Modello for the Glory of S. Luigi Gonzaga,Modello for the Glory of St Aloysius Gonzaga,Work,[Category Fix] 波佐的草稿。,Category Fix,0.87,
"Modena, Duke of",Duke of Modena,Person,摩德纳公爵（通常指 Este 家族）。,Unstructured,0.48,Low_Similarity; 
Mogliano,Mogliano Veneto,Place,威尼斯附近城镇。,Unstructured,0.7,
Mola painting the portrait of Pope Alexander VII,Mola painting the portrait of Pope Alexander VII,Work,[Category Fix] 乔瓦尼·巴蒂斯塔·高利（Baciccio）或 Mola 的画作。,Category Fix,1.0,
Mona Lisa,Mona Lisa,Work,[Category Fix] 蒙娜丽莎。,Category Fix,1.0,
"Monari, Cristofano",Cristoforo Monari,Person,晚期巴洛克雕塑家 (Cristoforo/Cristofano)。,Unstructured,0.46,Low_Similarity; 
Monastery of Jeronymites,Jerónimos Monastery,Place,热罗尼莫斯修道院。,Unstructured,0.42,Low_Similarity; 
Mondov足,Mondovì,Place,"[OCR Fix] 乱码修复 ""足"" -> ""ì""。皮埃蒙特城市。",OCR Fix,0.86,
Mondov足 Cathedral,Mondovì Cathedral,Place,[OCR Fix] 蒙多维大教堂。,OCR Fix,0.94,
"Monnot, Pierre",Pierre-Étienne Monnot,Person,法国雕塑家，主要活跃于罗马。,Unstructured,0.34,Low_Similarity; 
"Montagu, Jennifer",Jennifer Montagu,Person,现代著名艺术史学家（巴洛克雕塑权威）。,Unstructured,0.48,Low_Similarity; 
"Montaigne, Michel de",Michel de Montaigne,Person,蒙田。,Unstructured,0.46,Low_Similarity; 
Montanari palace,Palazzo Montanari,Place,[Category Fix] 位于博洛尼亚或其他城市的宫殿。,Category Fix,0.55,Low_Similarity; 
Monte Cassino,Monte Cassino,Place,卡西诺山修道院。,Unstructured,1.0,
"Monte, Cardinal Francesco del",Francesco Maria del Monte,Person,[Category Fix] 原文误标为 Place。著名的卡拉瓦乔赞助人。,Category Fix,0.48,Low_Similarity; 
Montecchio,Montecchio,Place,意大利地名。,Unstructured,1.0,
"Montefeltre, Federigo da",Federico da Montefeltro,Person,乌尔比诺公爵。,Unstructured,0.47,Low_Similarity; 
Montegiordano,Palazzo Taverna (Monte Giordano),Place,罗马 Orsini 家族的据点 Monte Giordano。,Unstructured,0.58,Low_Similarity; 
"Monterey, Count of",Count of Monterrey,Person,西班牙贵族/那不勒斯总督。,Unstructured,0.44,Low_Similarity; 
Montesquieu,Montesquieu,Person,孟德斯鸠。,Unstructured,1.0,
"Montorsoli, Giovanni",Giovanni Angelo Montorsoli,Person,米开朗基罗的学生，雕塑家。,Unstructured,0.43,Low_Similarity; 
Montpellier Library,Bibliothèque de Montpellier,Place,,Missing_Note,0.48,Low_Similarity; 
Monument to Doge Giovanni Pesaro...,Monument to Doge Giovanni Pesaro,Work,[Category Fix] 位于 Frari 教堂的陵墓雕塑。,Category Fix,0.96,
Monument to Pope Gregory XV,Monument to Pope Gregory XV,Work,[Category Fix] 墓葬雕塑（如 Le Gros 的作品）。,Category Fix,1.0,
Monument to the 1st Duke of Marlborough,Monument to the 1st Duke of Marlborough,Work,[Category Fix] 里斯伯勒（Rysbrack）在布伦海姆宫的作品。,Category Fix,1.0,
Moor Park,Moor Park,Place,赫特福德郡庄园。,Unstructured,1.0,
"Morandi, Giammaria",Giovanni Maria Morandi,Person,佛罗伦萨巴洛克画家。,Unstructured,0.35,Low_Similarity; 
Moravia,Moravia,Place,摩拉维亚地区。,Unstructured,1.0,
"Morelli, Jacopo",Jacopo Morelli,Person,著名的圣马可图书馆馆长。,Unstructured,0.48,Low_Similarity; 
