Refined_Formal_Name,Count,Refined_Category,Original_Entry,Status/Notes
Filippo Napoletano,2,Person,"Angeli, Filippo d' (Napoletano) | Filippo Napoletano",[Disambiguation] 菲利波·那波列塔诺。 | [Validation] 风景画家。
Giovanni Gasparo Baldoini,2,Person,"Baldoini, Giovanni Gasparo | Gio. Gasparo Baldoini",[Full Name] 建筑师/工程师。 | [Reconstruction] 名字倒装复原。
Giovanni Poleni,2,Person,"Giovanni Poleni | Poleni, Marchese Giovanni",[Category Fix] 原文误标为 Man-Made Object。科学家/侯爵。 | [Validation] 帕多瓦数学家/物理学家。
Giovanni Pietro Olina,2,Person,"Giovanni Pietro Olina | Olina, P.",[Validation] 鸟类学家/作家 (Cassiano dal Pozzo圈子)。 | 《Uccelliera》作者，卡西阿诺·达尔·波佐圈子成员。
Giovanni Pietro Bellori,2,Person,"Bellori, Gian Pietro | Giovanni Pietro Bellori",[Reconstruction] 艺术理论家。 | [Validation] 著名艺术理论家/传记作家。
Giovanni Paolo Panini,2,Person,"Giovanni Paolo Panini | Pannini, Giovanni Paolo",[Validation] 维杜塔画家。 | 罗马Veduta画家。
Allegory of Divine Providence and Barberini Power,2,Work,Allegory of Divine Providence and Barberini Power | Frescoes in Palazzo Barberini Salone,[Disambiguation] Pietro da Cortona 壁画。 | [Validation] 皮耶特罗·达·科尔托纳壁画。
Giovanni Marco Pitteri,2,Person,Antonio Pitteri | Giovanni Marco Pitteri,"[OCR Fix] ""Antonio"" 可能是 ""Marco"" 的误植，或指 Antonio Pitteri (较不知名)。倾向于 Marco Pitteri (威尼斯版画家)。 | [Validation] 威尼斯版画家。"
Giovanni Marchiori,2,Person,"Giovanni Marchiori | Marchiori, Giovanni",[Category Fix] 原文误标为 Man-Made Object。威尼斯雕塑家。 | [Validation] 威尼斯雕塑家。
Giovanni Ludovico Bianconi,2,Person,"Bianconi, G. L. | Giovanni Ludovico Bianconi",[Disambiguation] 18世纪医生/艺术作家。 | [Validation] 医生/艺术作家。
Giovanni Incisa della Rocchetta,2,Person,Giovanni Incisa della Rocchetta | Incisa Della Rocchetta,[Reconstruction] 学者。 | [Validation] 艺术史学家/收藏家 (Chigi日记编辑)。
Giovanni Gioseffo dal Sole,2,Person,"Giovanni Gioseffo dal Sole | Sole, Giovan Gioseffo dal",[Validation] 博洛尼亚画家。 | 博洛尼亚画家。
Giovanni Gaetano Bottari,2,Person,"Bottari, Giovanni | Giovanni Gaetano Bottari",[Disambiguation] 罗马学者/图书管理员。 | [Validation] 罗马学者/梵蒂冈图书馆员。
Flight into Egypt,2,Work,Escape from Egypt | Flight into Egypt,[Validation] 绘画主题。
Giovanni Francesco Romanelli,2,Person,"Giovanni Francesco Romanelli | Romanelli, Giovan Francesco",[Category Fix] 原文误标为 Place。罗马巴洛克画家。 | [Validation] 画家 (Cortona学生)。
Giovanni Francesco Negroni,2,Person,"Giovanni Francesco Negroni | Negroni, Cardinal Giovan Francesco",[Category Fix] 原文误标为 Place。红衣主教。 | [Validation] 枢机主教。
Giovanni Domenico Tiepolo,2,Person,"Giovanni Domenico Tiepolo | Tiepolo, Gian Domenico",[Validation] 提埃坡罗之子。 | 提埃坡罗之子。
Giovanni Domenico Piastrini,2,Person,"Giovanni Domenico Piastrini | Piastrini, G. D.",18世纪佛罗伦萨画家。 | [Validation] 佛罗伦萨画家。
Giovanni Domenico Ottonelli,2,Person,"Giovanni Domenico Ottonelli | Ottonelli, Padre",[Validation] 耶稣会作家 (艺术道德论)。 | 耶稣会士，著有《Trattato della pittura》。
Giovanni Camillo Sagrestani,2,Person,"Giovanni Camillo Sagrestani | Sagrestani, Giovan Camillo",[Validation] 佛罗伦萨画家。 | 佛罗伦萨晚期巴洛克画家。
Giovanni Benedetto Castiglione,2,Person,"Benedetto Castiglione | Castiglione, Giovanni Benedetto",[Disambiguation] 乔瓦尼·贝内代托·卡斯蒂廖内 (Il Grechetto)。 | [Validation] 画家。
Giovanni Battista Tiepolo,2,Person,"Giovanni Battista Tiepolo | Tiepolo, Giambattista",[Validation] 提埃坡罗。 | 提埃坡罗。
Giovanni Battista Passeri,2,Person,"Giovanni Battista Passeri | Passeri, Giambattista",[Validation] 传记作家/古物学家 (Lives of Painters / Etruscan studies)。 | 传记作家（《Vite》作者）。
Giovanni Battista Gaulli (Baciccio),2,Person,"Gaulli, Giovanni Battista (Baciccio) | Giovanni Battista Gaulli",[Validation] 画家。
Giovanni Vianello,2,Person,"Giovanni Vianello | Vianello, Dr Giovanni",[Validation] 威尼斯画家 (19世纪)。 | 艺术史学家/收藏家。
Girolamo Durazzo,2,Person,"Durazzo, Marchese Girolamo | Marchese Girolamo Durazzo",[Category Fix] 原文误标为 Work。热那亚总督/贵族。 | 热那亚贵族、总督及艺术收藏家。
Girolamo Frescobaldi,2,Person,"Frescobaldi, Gerolamo | Girolamo Frescobaldi",[Reconstruction] 作曲家。 | [Validation] 巴洛克作曲家。
Giuseppe Cesari (Cavaliere d'Arpino),2,Person,"Arpino, Cavaliere d' | Giuseppe Cesari",[Disambiguation] 朱塞佩·切萨里。 | [Validation] 罗马画家。
Inquisitori di Stato,2,Organization,Venice-Inquisitori di Stato | Venice-Inquisiwri,"[Category Fix] 威尼斯国家裁判官。 | [OCR Fix] ""Inquisiwri"" -> ""Inquisitori""。"
Innocent XIII,2,Person,"Conti, Michaelangelo (Pope Innocent XIII) | Innocent XIII",[Disambiguation] 教皇英诺森十三世。 | [Validation] 教皇。
Innocent XII,2,Person,"Innocent XII, Pope | Pignatelli, Antonio (Pope Innocent XII)",[Validation] 教皇。 | 教皇英诺森十二世。
Innocent XI,2,Person,"Odescalchi, Benedetto (Pope Innocent XI) | Pope Innocent XI",nan | 教皇英诺森十一世（Odescalchi家族）。
Alexander VII,2,Person,"Chigi, Fabio (Pope Alexander VII) | Pope Alexander VII",[Disambiguation] 教皇亚历山大七世。 | nan
Herman van Swanevelt,2,Person,"Herman van Swanevelt | Swanevelt, Hermann",[Validation] 荷兰画家。 | 荷兰风景画家。
Henry III of France,2,Person,Henri III | Henri III of France,[Category Fix] 原文误标为 Place。 | [Validation] 法国国王。
"Henry Bentinck, 1st Duke of Portland",2,Person,"Henry Bentinck | Portland, Henry, first Duke of",[Disambiguation] 波特兰公爵。 | nan
"Henry Bennet, 1st Earl of Arlington",2,Person,"Arlington, Lord | Henry Bennet",[Disambiguation] 阿灵顿伯爵。 | [Validation] 英国政治家。
Abraham Brueghel,2,Person,"Abraham Brueghel | Breughel, Abram",[Disambiguation] 佛兰芒静物画家。 | [Validation] 佛兰芒画家。
Heinrich von Brühl,2,Person,"Brühl, Count | Heinrich von Brühl",[Disambiguation] 萨克森首相/收藏家。 | [Validation] 萨克森首相/收藏家。
Gustavus Adolphus,2,Person,Gustavus Adolphus | Gustavus Adolphus of Sweden,[Validation] 同上。 | [Validation] 瑞典国王。
Guillaume Courtois (Il Borgognone),2,Person,"Borgognone, Guglielmo (Guillaume Courtois) | Guillaume Courtois",[Disambiguation] 纪尧姆·库尔图瓦。 | [Validation] 画家。
Guido Bentivoglio,2,Person,Cardinal Bentivoglio | Guido Bentivoglio,[Category Fix] 原文误标为 Work。通常指 Guido Bentivoglio 枢机 (凡戴克肖像)。 | [Validation] 枢机主教。
Guercino,2,Person,Giovanni Francesco Barbieri | Guercino (Francesco Barbieri),[Category Fix] 原文误标为 Place。 | [Disambiguation] 顾尔奇诺。
Alexander VIII,2,Person,"Ottoboni, Pietro (Pope Alexander VIII) | Pope Alexander VIII",nan | 教皇亚历山大八世。
Alfonso Gesualdo,2,Person,"Alfonso Gesualdo | Gesualdo, Cardinal",[Disambiguation] 枢机主教。 | [Validation] 枢机主教。
Gregory XIII,2,Person,"Boncampagni, Ugo (Pope Gregory XIII) | Gregory XIII",[Disambiguation] 教皇格里高利十三世。 | [Validation] 教皇格里高利十三世。
Giustiniana Wynne,2,Person,"Giustiniana Wynne Rosenberg-Orsini | Wynne, Giustiniana (Mme Rosenberg)",[Validation] 威尼斯女作家。 | 威尼斯女作家（Countess Rosenberg）。
Giuseppe Valeriano,2,Person,"Giuseppe Valeriano | Valeriano, Padre",[Validation] 耶稣会建筑师/画家。 | 耶稣会画家/建筑师。
Giuseppe Toninotto,2,Person,"Giuseppe Toninotto | Toninotto, Padre Giuseppe",[Validation] 18世纪威尼斯出版商?。 | nan
Giovanni Battista Foggini,2,Person,"Foggini, Giovan Battista | Giovanni Battista Foggini",[Reconstruction] 佛罗伦萨雕塑家/建筑师。 | [Validation] 佛罗伦萨雕塑家。
Giovanni Antonio Fumiani,2,Person,"Fumiani, Giannantonio | Giovanni Antonio Fumiani",[Reconstruction] 威尼斯画家。 | [Validation] 威尼斯画家 (San Pantalon天顶)。
Giovanni Angelo Montorsoli,2,Person,"Giovanni Angelo Montorsoli | Montorsoli, Giovanni",[Validation] 雕塑家 (Servite)。 | 米开朗基罗的学生，雕塑家。
François-Joachim de Pierre de Bernis,2,Person,"Bermis, Cardinal de | Fran?ois-Joachim de Pierre de Bernis","[OCR Fix] ""?"" -> ""ç""。 | [OCR Fix] ""Bermis"" -> ""Bernis""。法国枢机/外交官。"
François Girardon,2,Person,"Fran?ois Girardon | Girardon, François","[OCR Fix] ""?"" -> ""ç""。 | [Reconstruction] 法国雕塑家。"
François Duquesnoy,2,Person,"Duquesnoy, François | Fran?ois Duquesnoy","[OCR Fix] ""?"" -> ""ç""。 | [Validation] 佛兰芒雕塑家。"
François Boucher,2,Person,"Boucher, François | Fran?ois Boucher","[OCR Fix] ""?"" -> ""ç""。 | [Reconstruction] 法国洛可可画家。"
Frans van Mieris the Elder,2,Person,"Frans van Mieris the Elder | Mieris, Frans van",[Validation] 荷兰画家。 | 荷兰黄金时代画家。
Frans Pourbus the Younger,2,Person,"Frans Pourbus the Younger | Pourbus, Franz, the Younger",[Validation] 佛兰芒肖像画家。 | 佛兰芒肖像画家。
Franco Venturi,2,Person,"Franco Venturi | Venturi, Professor Franco",[Validation] 历史学家 (Settecento riformatore)。 | 著名的现代历史学家（启蒙运动研究）。
Francis Watson,2,Person,"Francis Watson | Watson, F. J. B.",[Validation] 艺术史学家 (Wallace Collection)。 | 华莱士收藏馆馆长。
Francis I of France,2,Person,Francis I of France | François I of France,[Category Fix] 原文误标为 Place。 | [Validation] 法国国王。
Francesco Panciatichi,2,Person,"Francesco Panciatichi | Panciatichi, Senator Francesco",[Category Fix] 原文误标为 Place。佛罗伦萨参议员。 | [Validation] 佛罗伦萨政治家/国务秘书。
Francesco Maria del Monte,2,Person,"Francesco Maria del Monte | Monte, Cardinal Francesco del",[Category Fix] 原文误标为 Place。著名的卡拉瓦乔赞助人。 | [Validation] 枢机主教 (Caravaggio赞助人)。
Francesco Maria Zanotti,2,Person,"Francesco Maria Zanotti | Zanotti, F. M.",[Validation] 博洛尼亚哲学家/作家。 | 博洛尼亚哲学家/作家。
Francesco Maria Richini,2,Person,"Francesco Maria Richini | Ricchini, Francesco Maria",[Category Fix] 原文误标为 Place。米兰巴洛克建筑师。 | [Validation] 米兰巴洛克建筑师。
Francesco Maria Niccolò Gabburri,2,Person,"Francesco Maria Niccolò Gabburri | Gabburri, Francesco",[Category Fix] 原文误标为 Place。 | [Validation] 佛罗伦萨收藏家/传记作家。
Francesco Maria I della Rovere,2,Person,"Francesco Maria I della Rovere | Urbino, Francesco Maria della Rovere...",[Validation] 乌尔比诺公爵。 | 乌尔比诺公爵。
Francesco Bassi (Il Cremonese),2,Person,"Bassi, Francesco (il Cremonese) | Francesco Bassi",[Category Fix] 原文误标为 Place。风景画家。 | [Validation] 画家。
Francesco Barberini (1597–1679),2,Person,"Barberini, Cardinal Francesco (nephew to Urban VIII) | Francesco Barberini",[Category Fix] 原文误标为 Place。 | [Validation] 枢机主教。
Francesco Baratta,2,Person,"Baratta, Francesco | Francesco Baratta the Elder",[Category Fix] 原文误标为 Place。雕塑家。 | [Validation] 雕塑家。
Francesco Angelo Rapaccioli,2,Person,"Francesco Angelo Rapaccioli | Rapaccioli, Cardinal",[Validation] 枢机主教。 | 枢机主教，艺术赞助人。
Francesco Albergati Capacelli,2,Person,"Albergati-Capacelli, Francesco | Francesco Albergati Capacelli",[Category Fix] 原文误标为 Place (E53)。剧作家/侯爵。 | [Validation] 剧作家。
Francesco Adriano Ceva,2,Person,"Ceva, Cardinal | Francesco Adriano Ceva",[Disambiguation] 枢机主教。 | [Validation] 枢机主教。
Fra Bartolomeo,2,Person,"Bartolommeo, Fra | Fra Bartolomeo",[Reconstruction] 佛罗伦萨画家。 | [Validation] 画家。
François Mansart,2,Person,"Fran?ois Mansart | Mansart, François","[OCR Fix] ""?"" -> ""ç""。 | [Validation] 法国建筑师。"
Frederick III (Holy Roman Emperor),2,Person,Frederick III | Frederick III (Holy Roman Emperor),[Disambiguation] 神圣罗马帝国皇帝。 | [Validation] 同上。
Giovan Battista Langetti,2,Person,"Giovan Battista Langetti | Langetti, Giovanni Battista",[Validation] 画家 (Tenebrist)。 | [Validation] 画家。
Frederick the Great,2,Person,Frederick II of Prussia | Frederick the Great,[Validation] 普鲁士国王。
Giovan Battista Cimaroli,2,Person,"Cimaroli, Giovan Battista | Giovanni Battista Cimaroli",[Reconstruction] 威尼斯风景画家。 | [Validation] 威尼斯风景画家。
Giorgione,2,Person,Giorgione | Zorzone,[Disambiguation] 威尼斯方言称呼，或指 Giorgione。 | [Validation] 画家。
Giannantonio Moschini,2,Person,"Giannantonio Moschini | Moschini, Abate G. A.",19世纪威尼斯艺术导览作家。 | [Validation] 威尼斯艺术导览作者/神职人员。
Gianantonio Guardi,2,Person,"Giovanni Antonio Guardi | Guardi, Gian Antonio",[Standardization] 瓜尔迪兄弟长兄 (Giovanni Antonio)。 | [Validation] 威尼斯画家。
Gian Vittorio Rossi (Janus Nicius Erythraeus),2,Person,Gian Vittorio Rossi | Jan Niceo Eritreo,[Disambiguation] 意大利作家/学者。 | [Validation] 诗人/学者。
Gian Paolo Cavagna,2,Person,"Cavagna, Giampaolo | Giovanni Paolo Cavagna",[Validation] 贝加莫画家。
Gian Domenico Ferretti,2,Person,"Ferretti, Gian Domenico | Giovanni Domenico Ferretti",[Reconstruction] 佛罗伦萨洛可可画家。 | [Validation] 佛罗伦萨画家。
Giammaria Ortes,2,Person,"Giammaria Ortes | Ortes, Abate Giuseppe Maria",[Validation] 威尼斯经济学家/修道士。 | 威尼斯哲学家/经济学家。
Giambattista Biffi,2,Person,"Biffi, Giambattista | Giovanni Battista Biffi",[Reconstruction] 18世纪克雷莫纳作家。 | [Validation] 克雷莫纳作家。
Giacomo del Po,2,Person,"Giacomo del Pò | Po, Giacomo del",[Validation] 那不勒斯画家。 | 那不勒斯画家。
Giacomo Serra,2,Person,"Giacomo Serra | Serra, Mgr Giacomo",[Validation] 枢机主教 (Rubens赞助人)。 | 红衣主教（卡拉瓦乔赞助人，Rubens 也有接触）。
Giacomo Di Castro,2,Person,"Castro, Jacomo di | Giacomo di Castro",[Disambiguation] 索伦托/那不勒斯画家。 | [Validation] 索伦托画家。
Giacomo Casanova,2,Person,"Casanova de Seingalt, Jacques | Giacomo Casanova",[Disambiguation] 贾科莫·卡萨诺瓦。 | [Validation] 冒险家/作家。
Giacomo Boni,2,Person,"Boni, Giacomo Antonio | Giacomo Boni",[Disambiguation] 博洛尼亚画家。 | [Validation] 威尼斯画家 (18世纪) 或考古学家 (19世纪)。结合上下文 (Giacomo/18th cent)，应为画家 Giacomo Boni (1688–1766)。
George III of Great Britain,2,Person,"George III of Great Britain | George III, King of England",[Validation] 同上。 | [Validation] 英国国王。
Alvise Mocenigo,2,Person,"Alvise Mocenigo | Mocenigo, Doge Alvise",[Validation] 威尼斯总督/贵族（需具体上下文区分几世）。 | 威尼斯总督（具体哪一世需上下文，通常指 Alvise IV 1763-1778）。
George Frideric Handel,2,Person,"George Frideric Handel | Handel, George Frederick",[Validation] 作曲家。
Ambroise Dubois,2,Person,"Ambroise Dubois | Dubois, Ambrose",[Reconstruction] 枫丹白露画派画家。 | [Validation] 画家 (枫丹白露画派)。
Gaspar Méndez de Haro (Marquis of Carpio),2,Person,"Gaspar Méndez de Haro | Guzman, Gasparo de Haro y",[Reconstruction] 西班牙收藏家。 | [Validation] 西班牙收藏家。
Galeazzo Arconati,2,Person,"Arconato, Galeazzo | Galeazzo Arconati",[Reconstruction] 米兰收藏家 (达芬奇手稿)。 | [Validation] 米兰收藏家。
Gabriel Grupello,2,Person,"Gabri?l Grupello | Gruppello, Gabriel","[OCR Fix] ""?"" -> ""ë""。佛兰芒雕塑家。 | [Validation] 佛兰芒雕塑家。"
Würzburg Residence,2,Place,W邦rzburg Residence | W邦rzburg Residenz,"[Duplicate] 同上。 | [OCR Fix] ""W邦rzburg"" -> ""Würzburg""。"
